MouseID,Image#,Total Adipocyte Number ,Total Area ,Adipocyte Avergae Total Area ,Adipocyte Average Percent Area ,Sum Adipocyte Area ,Mean Total Area,Total Min,Total Max,Genotype,AverageAdipocyteArea
7981,1,661,3117987,144164.1,4.62362736,,169.025,1,255,KO,218.1
7981,2,409,3145728,133215.39,4.2348032,,121.704,0,234,KO,325.71
7981,3,69,3120420,20410.89,0.654107139,,169.444,1,255,KO,295.81
7981,4,339,3145728,103671.19,3.295618375,,117.492,0,255,KO,315.11
7981,5,308,3005199,97137.04,3.232299758,,168.146,2,255,KO,315.38
7981,6,166,3145728,102936.6,3.272266388,,131.117,0,255,KO,620.1
7981,7,85,3145728,43984.1,1.398216883,,120.351,0,255,KO,517.46
7981,8,27,2264574,13899.06,0.613760469,,179.403,63,240,KO,514.78
7981,Total,2054,24091092,659416.16,2.737178373,659420,,,,KO,321.04
7983,1,69,2809380,24203.13,0.861511437,,160.738,0,255,KO,350.77
7983,2,216,3145728,66402.72,2.11088562,,131.148,0,255,KO,307.42
7983,3,312,3145728,91288.08,2.90196991,,118.25,0,255,KO,292.59
7983,4,435,3145728,127750.8,4.061088562,,123.973,0,255,KO,293.68
7983,5,396,3132810,121814.05,3.888331881,,159.594,1,255,KO,308.39
7983,6,310,3145728,90247.2,2.868881226,,125.18,0,255,KO,291.12
7983,7,185,3145728,59410.9,1.888621648,,118.817,0,231,KO,321.38
7983,8,29,2954405,12423.89,0.420520883,,161.886,1,255,KO,428.41
7983,Total,1951,24625235,313564.72,1.273347117,593582,,,,KO,304.25
7984,1,1,3034170,259,0.008536107,,165.425,1,255,KO,259
7984,2,24,3145728,7745.04,0.246208191,,115.178,0,255,KO,322.71
7984,3,35,3145728,6424.95,0.20424366,,114.489,0,227,KO,183.57
7984,4,8,3145728,2008,0.063832601,,102.685,0,255,KO,251
7984,5,0,3145728,,,,115.946,0,232,KO,
7984,6,52,3087813,11537.76,0.373654752,,155.729,2,255,KO,221.88
7984,7,25,3145728,5572.84,0.177155813,,111.217,0,224,KO,214.04
7984,8,29,3010998,4399.88,0.146126965,,158.095,1,255,KO,151.72
7984,Total,176,24861621,37940.32,0.152605979,37940,,,,KO,216.8
8161,1,293,2887962,115963.54,4.015410868,,183.268,0,255,KO,395.78
8161,2,354,2854395,120710.46,4.228933277,,106.224,0,235,KO,340.99
8161,3,332,2965533,144257.32,4.864465174,,173.217,1,255,KO,434.51
8161,4,244,2892666,108584.88,3.753799436,,174.425,1,255,KO,445.02
8161,5,330,3145728,155291.4,4.936580658,,129.326,0,255,KO,470.58
8161,6,216,3048600,89128.08,2.9235741,,178.865,1,255,KO,412.63
8161,7,305,3090885,118059.4,3.819598594,,174.623,0,255,KO,387.08
8161,8,191,3090980,82643.79,2.673708338,,123.419,0,255,KO,432.69
8161,Total,2265,23976749,934629.6,3.898066414,934640,,,,KO,412.64
8162,1,34,3085188,10390.06,0.336772346,,171.815,0,255,WT,305.59
8162,2,97,3145728,34498.05,1.096663475,,117.508,0,226,WT,355.65
8162,3,26,3116520,6414.98,0.205837922,,173.738,0,255,WT,246.73
8162,4,1,2819538,441,0.01564086,,180.486,1,255,WT,441
8162,5,9,3054003,3056.04,0.100066699,,183.773,0,255,WT,339.56
8162,6,27,3055227,6809.92,0.222894076,,170.675,0,255,WT,261.93
8162,7,131,3145728,44614.67,1.418262164,,90.604,0,255,WT,340.57
8162,8,50,3126912,15593,0.498670893,,158.035,0,255,WT,311.86
8162,Total,374,24548844,121819.28,0.496232246,121818,,,,WT,325.72
8444,1,62,2882385,37627.18,1.305418256,,168.368,0,255,WT,606.89
8444,2,35,3129537,22650.95,0.723779588,,169.229,1,255,WT,647.17
8444,3,90,3137244,47942.1,1.528159748,,167.815,0,255,WT,532.69
8444,4,99,2683386,34791.57,1.296554801,,179.494,80,232,WT,351.43
8444,5,238,3145728,34421.94,1.094244003,,120.587,0,255,WT,144.63
8444,6,177,3145728,18668.19,0.593445778,,119.008,0,255,WT,105.47
8444,7,84,3145728,25954.32,0.825065613,,118.113,0,255,WT,308.98
8444,8,218,2895025,39782.82,1.374178807,,175.615,1,255,WT,182.49
8444,Total,1003,24164761,261833.15,1.083532959,261836,,,,WT,261.04
8445,1,162,3012591,17121.78,0.568340674,,156.778,2,255,WT,105.69
8445,2,44,3145728,4784.12,0.152083079,,122.533,0,255,WT,108.73
8445,3,126,3145728,25114.32,0.798362732,,126.845,0,255,WT,199.32
8445,4,118,3145728,24232.48,0.770329793,,129.663,0,255,WT,205.36
8445,5,32,3036915,9937.92,0.327237344,,171.877,1,255,WT,310.56
8445,6,165,3145728,39781.5,1.264619827,,106.572,0,228,WT,241.1
8445,7,88,2908788,24534.4,0.843457825,,96.301,0,244,WT,278.81
8445,8,57,2814429,11144.64,0.395982276,,132.642,0,255,WT,195.53
8445,Total,792,24355635,156649.68,0.643176333,156652,,,,WT,197.79
8446,1,101,3053796,30653.5,1.003783488,,160.06,1,255,WT,303.5
8446,2,149,3145728,62775.19,1.995569547,,161.726,1,255,WT,421.32
8446,3,74,3145728,20002.94,0.635876338,,158.918,1,255,WT,270.31
8446,4,44,3145728,20108.88,0.63924408,,160.998,0,255,WT,457.02
8446,5,194,3145728,61111.94,1.942696253,,166.793,1,255,WT,315.01
8446,6,83,3145728,15979.16,0.507963816,,169.592,1,255,WT,192.52
8446,7,33,3145728,12949.86,0.411664963,,170.178,2,255,WT,392.42
8446,8,144,3145728,100654.56,3.19972229,,177.216,0,255,WT,698.99
8446,Total,822,55152744,324237.9,0.587890786,325062,,,,WT,394.45
8465,1,422,2903272,139323.3,4.798837312,,168.846,2,255,KO,330.16
8465,2,343,3084844,118746.6,3.849355105,,165.294,0,255,KO,346.12
8465,3,585,3145728,226980,7.215499878,,167.129,2,255,KO,388.01
8465,4,612,3060135,227107.08,7.421472582,,168.83,0,255,KO,371.1
8465,5,469,3145728,177211.65,5.633406639,,168.705,1,255,KO,377.86
8465,6,441,3145728,130302.27,4.142197609,,170.023,1,255,KO,295.48
8465,7,249,3145728,90640,2.881368001,,171.626,1,255,KO,364.02
8465,8,78,3065017,26268.84,0.857053648,,176.654,0,255,KO,336.78
8465,Total,3199,24696180,1136956.8,4.603775969,1136603,,,,KO,355.3
8466,1,176,3070488,59799.52,1.947557522,,160.32,1,255,KO,339.77
8466,2,106,3099462,44252.88,1.427760044,,155.646,0,255,KO,417.48
8466,3,81,3145728,19474.02,0.619062424,,161.791,0,255,KO,240.42
8466,4,78,3145728,23300.94,0.740716934,,156.618,2,255,KO,298.73
8466,5,63,3122082,21549.15,0.690217297,,151.001,1,255,KO,342.05
8466,6,149,3118752,45625.29,1.462934212,,153.791,1,255,KO,306.41
8466,7,110,3145728,43388.4,1.37928009,,157.328,1,255,KO,394.44
8466,8,116,3145728,42650.88,1.355834961,,156.449,1,255,KO,367.68
8466,Total ,879,24993696,300037.86,1.200454147,300042,,,,KO,341.34
8467,1,36,3086166,12767.04,0.413686108,,153.457,2,255,WT,354.64
8467,2,13,3145728,3333.98,0.10598437,,151.491,0,255,WT,256.46
8467,3,1,3145728,298,0.009473165,,154.139,1,255,WT,298
8467,4,1,3145728,327,0.01039505,,125.359,1,255,WT,327
8467,5,65,3145728,14197.95,0.451340675,,176.618,0,255,WT,218.43
8467,6,42,3145728,5207.16,0.165531158,,170.508,0,255,WT,123.98
8467,7,74,3145728,15053.08,0.478524526,,162.31,0,255,WT,203.42
8467,8,62,3005727,20851.22,0.693716362,,139.798,42,211,WT,336.31
8467,Total,294,24966261,72035.88,0.288532912,72035,,,,WT,245.02
