ID,Genotype,Weight,RMGland,LMGland,D16,,,Notes 
8161,KO,25.4,0.4653,0.4539,6/22/19,,,Exp done at 9am
7983,KO,28.3,0.5125,0.5311,6/23/19,,,Exp done at 9am
7981,KO,26.9,0.4997,0.4947,6/24/19,,,Exp done at 1:30
7984,KO,25.6,0.3541,0.3764,6/25/19,,,Exp done at 1:30
8466,KO,29.6,0.5489,0.502,7/19/19,,,Exp done at 10
8444,WT,26.7,0.559,0.61,7/21/19,,,Exp done at 10:30
8467,WT,28.9,0.6153,0.5943,7/22/19,,,Exp done at 10
8445,WT,27,0.6302,0.6677,7/22/19,,,Exp done at 10
8465,KO,30,0.6361,0.5229,7/24/19,,,
8446,WT,28.6,0.6244,0.6002,7/24/19,,,
