MaternalGenotype,ID,BW,Fat,Lean,FreeWater,TotalWater,Date,DayfromDelivery,Notes,FoodIntake,FoodIntakebydays,Week,WeekbyDays,,,,,,,
KO,7984,20.7,1.87,16.45,0.6,14.11,5/20/19,-20,,,,,,Food missed for week 1 of mating,,,,,,
KO,7983,21.7,1.7,17.41,0,15.18,5/20/19,-18,,,,,,,,,,,,
KO,7981,21.3,1.36,18.4,0.11,16.56,5/20/19,-19,,,,,,,,,,,,
WT,7982,24.2,3.17,18.53,0.06,15.94,5/20/19,-31,,,,,,,,,,,,
WT,8162,19.6,1.96,15.34,0.06,13.6,5/20/19,-16,,,,,,,,,,,,
KO,8161,17.7,1.65,14.06,0.16,12.45,5/20/19,-17,,,,,,,,,,,,
KO,7984,21.4,2.62,16.13,0,14.39,5/22/19,-18,,,,,,,,,,,,
KO,7983,22.2,1.29,18.23,0,16.19,5/22/19,-16,,,,,,,,,,,,
KO,7981,21.5,1.94,16.82,0.11,14.3,5/22/19,-17,,,,,,,,,,,,
WT,7982,23.6,2.29,18.86,0.02,16.78,5/22/19,-29,,,,,,,,,,,,
WT,8162,20.1,2.82,14.71,0.24,12.87,5/22/19,-14,,,,,,,,,,,,
KO,8161,18.8,1.78,14.65,0,12.09,5/22/19,-15,,,,,,,,,,,,
KO,7984,22.8,2.06,18.4,0.31,16.15,5/24/19,-16,,26.85,26.85,-2,2,Food calculated as remaining-original divided by 2 since male was in there breeding,,,,,,
KO,7983,22.2,1.72,17.94,0,15.76,5/24/19,-14,,28.45,28.45,-2,2,,,,,,,
KO,7981,21.4,1.99,16.57,0,14.74,5/24/19,-15,,23.5,23.5,-2,2,,,,,,,
WT,7982,23.7,3.61,17.72,0,15.19,5/24/19,-27,,,,,,23.65,2,not week 2 since -27 days from delivery,,,,
WT,8162,20.1,2.85,15.19,0.06,13.35,5/24/19,-12,,26.9,26.9,-2,2,,,,,,,
KO,8161,18.7,1.93,14.79,0.2,12.56,5/24/19,-13,,27.55,27.55,-2,2,,,,,,,
KO,7984,24.1,2.33,19.21,0,16.4,5/27/19,-13,,,,,,,,,,,,
KO,7983,23.5,1.86,18.76,0.04,16.21,5/27/19,-11,,,,,,,,,,,,
KO,7981,22.5,2.03,18.17,0.05,15.57,5/27/19,-12,,,,,,,,,,,,
WT,7982,24.8,3.52,18.48,0.02,16.1,5/27/19,-24,,,,,,,,,,,,
WT,8162,22.1,2.36,16.81,0.32,15.08,5/27/19,-9,,,,,,,,,,,,
KO,8161,20.7,2.25,15.76,0.36,13.9,5/27/19,-10,,,,,,,,,,,,
KO,7984,24.7,2.85,19.23,1.21,18.19,5/29/19,-11,,,,,,,,,,,,
KO,7983,24,1.92,19.29,1.09,18.21,5/29/19,-9,,,,,,,,,,,,
KO,7981,23.1,2.08,18.18,0.23,16.31,5/29/19,-10,,,,,,,,,,,,
WT,7982,24.6,3.66,18.61,0.33,16.54,5/29/19,-22,,,,,,,,,,,,
WT,8162,23.9,2.68,17.98,0.71,17.03,5/29/19,-7,,,,,,,,,,,,
KO,8161,22.9,2.46,17.1,0.66,16.17,5/29/19,-8,,,,,,,,,,,,
KO,7984,26.3,3.11,19.99,0.27,18.38,5/31/19,-9,,32,23.3,-1,3.5,Food calculated as remaining-original divided by 2 since male was in there breeding,,,,,,
KO,7983,25.6,2.26,20.79,0.65,18.6,5/31/19,-7,,32.2,25.4,-1,3.5,,,,,,,
KO,7981,24.8,2.58,19.55,0,17.59,5/31/19,-8,,29.5,21.9,-1,3.5,,,,,,,
WT,7982,24.6,3.87,18.57,0.68,16.06,5/31/19,-20,,,,,,18.75food intake,3.5wrong assumed week,not 3.5 since -20 days from delivery,,,,
WT,8162,26.8,2.94,19.71,2.16,20.04,5/31/19,-5,,33.75,23.95,-1,3.5,,,,,,,
KO,8161,25.8,2.8,18.88,1.98,18.67,5/31/19,-6,,31.95,24.65,-1,3.5,,,,,,,
KO,7984,29.3,3.26,22.04,1.4,21.28,6/3/19,-6,,,,,,,,,,,,
KO,7983,28.1,2.6,21.82,1.33,20.92,6/3/19,-4,,,,,,,,,,,,
KO,7981,27.8,2.71,21.34,0.81,20.21,6/3/19,-5,,,,,,,,,,,,
WT,7982,24.2,3.05,18.58,0.47,16.85,6/3/19,-17,,,,,,,,,,,,
WT,8162,31.4,3.78,22.81,1.43,22.4,6/3/19,-2,,,,,,,,,,,,
KO,8161,31.2,3.6,22.31,1.76,22.79,6/3/19,-3,,,,,,,,,,,,
KO,7984,32.1,3.87,23.56,1.82,23.07,6/5/19,-4,,,8.7,,3.7,"Males removed from all cages, eating is solo",,,,,,
KO,7983,30.3,3.15,23.38,0.79,21.46,6/5/19,-2,,,6.8,,3.7,,,,,,,
KO,7981,30.5,3.09,23.02,1.19,21.69,6/5/19,-3,,,7.6,,3.7,,,,,,,
WT,7982,25.1,3.69,19.09,0.11,16.48,6/5/19,-15,,,,,,5.3,3.7,not 3.7 since -15 days from delivery,,,,
WT,8162,23.1,2.96,17.28,0.16,15.14,6/5/19,0,Delivery,,9.8,,3.7,,,,,,,
KO,8161,34.9,3.84,25.98,0.97,21.71,6/5/19,-1,,,7.3,,3.7,,,,,,,
KO,8161,22.8,3.08,17.43,0,14.97,6/6/19,0,Delivery,,,,3.7,,,,,,,
KO,7984,33.5,4.1,25.78,2.07,24.41,6/7/19,-2,,47,47,0,,,,,,,,
KO,7983,25.5,2.4,20.6,0.62,18.52,6/7/19,0,Delivery,47.5,47.5,0,,,,,,,,
KO,7981,32.5,3.24,25.12,1.13,23.86,6/7/19,-1,,45.4,45.4,0,,,,,,,,
