Protein,Genotype,ID,NormalizedValue,Value,Batch,
aCasein,WT,1435,0.8918675,25444.342,1,
aCasein,WT,1450,0.9582843,27338.957,1,
aCasein,WT,1467,0.4753125,13559.581,1,
aCasein,KO,1468,1.4848046,42358.673,1,
aCasein,KO,1436,1.1592855,33072.851,1,"All normalized values are normalized to the average of WT protein expression per protein and per gel. The last 3 samples (6132, 6245,6195) were on a separate gel and normalized to the only WT in that gel which was 6132. Consider only the raw values and not the normalized ones for anlysis."
aCasein,KO,1466,1.7037503,48604.668,1,
aCasein,KO,6105,2.5940859,74006.345,1,
aCasein,WT,6132,1,31828.037,1,
aCasein,KO,6245,0.518312,16496.815,1,
aCasein,KO,6195,0.3464737,11027.551,1,
bCasein,WT,1435,0.596423062,11201.664,1,
bCasein,WT,1450,1.362664991,25590.659,1,
bCasein,WT,1467,0.339294897,6371.744,1,
bCasein,KO,1468,1.414662019,26568.827,1,
bCasein,KO,1436,0.897891549,16862.182,1,
bCasein,KO,1466,2.045597394,38417.304,1,
bCasein,KO,6105,3.069767442,57651.434,1,
bCasein,WT,6132,1,27073.167,1,
bCasein,KO,6245,0.3983901,10785.936,1,
bCasein,KO,6195,0.2410079,6524.773,1,
WAP,WT,1435,1.068955651,30573.342,1,
WAP,WT,1450,0.5640265,16133.617,1,
WAP,WT,1467,0.788034855,22538.889,1,
WAP,KO,1468,1.660449993,47490.747,1,
WAP,KO,1436,1.407413188,40254.759,1,
WAP,KO,1466,1.139497984,32590.668,1,
WAP,KO,6105,2.197216803,62845.437,1,
WAP,WT,6132,1,30833.158,1,
WAP,KO,6245,0.4655122,14353.258,1,
WAP,KO,6195,0.613317,18910.128,1,
Lactoferrin,WT,1435,0.583932881,30099.383,1,
Lactoferrin,WT,1450,1.026916446,52935.07,1,
Lactoferrin,WT,1467,1.414182278,72896.572,1,
Lactoferrin,KO,1468,1.214573038,62608.258,1,
Lactoferrin,KO,1436,1.4123434,72801.894,1,
Lactoferrin,KO,1466,1.031237789,53157.551,1,
Lactoferrin,KO,6105,1.536007355,79175.546,1,
Lactoferrin,WT,6132,1,33657.543,1,
Lactoferrin,KO,6245,1.0687426,35971.735,1,
Lactoferrin,KO,6195,0.6365924,21426.052,1,
Albumin,WT,1435,0.858229774,35068.271,1,
Albumin,WT,1450,0.828902774,33870.333,1,
Albumin,WT,1467,1.190510225,48647.907,1,
Albumin,KO,1468,1.361953289,55652.915,1,
Albumin,KO,1436,1.68353584,68792.258,1,
Albumin,KO,1466,0.958845365,39181.966,1,
Albumin,KO,6105,1.217900537,49766.756,1,
Albumin,WT,6132,1,35940.735,1,
Albumin,KO,6245,0.8102674,29121.836,1,
Albumin,KO,6195,0.9103028,32717.371,1,
