Protein,Genotype,ID,Value
aCasein,KO,8466,225
aCasein,WT,8162,167
aCasein,KO,8161,293
aCasein,WT,8445,184
aCasein,KO,7983,179
aCasein,WT,8444,324
aCasein,KO,7981,249
aCasein,WT,8446,287
aCasein,KO,7984,351
aCasein,WT,8467,137
aCasein,KO,8465,394
bCasein,KO,8466,116
bCasein,WT,8162,60.1
bCasein,KO,8161,153
bCasein,WT,8445,96.6
bCasein,KO,7983,81.3
bCasein,WT,8444,124
bCasein,KO,7981,76
bCasein,WT,8446,141
bCasein,KO,7984,125
bCasein,WT,8467,58.6
bCasein,KO,8465,169
WAP,KO,8466,285
WAP,WT,8162,311
WAP,KO,8161,397
WAP,WT,8445,308
WAP,KO,7983,371
WAP,WT,8444,397
WAP,KO,7981,440
WAP,WT,8446,381
WAP,KO,7984,323
WAP,WT,8467,222
WAP,KO,8465,318
Lactoferrin,KO,8466,602
Lactoferrin,WT,8162,455
Lactoferrin,KO,8161,518
Lactoferrin,WT,8445,518
Lactoferrin,KO,7983,512
Lactoferrin,WT,8444,407
Lactoferrin,KO,7981,601
Lactoferrin,WT,8446,454
Lactoferrin,KO,7984,428
Lactoferrin,WT,8467,642
Lactoferrin,KO,8465,824
Albumin,KO,8466,711
Albumin,WT,8162,460
Albumin,KO,8161,675
Albumin,WT,8445,671
Albumin,KO,7983,575
Albumin,WT,8444,759
Albumin,KO,7981,1060
Albumin,WT,8446,660
Albumin,KO,7984,686
Albumin,WT,8467,516
Albumin,KO,8465,831
Band1,KO,8466,128
Band1,WT,8162,117
Band1,KO,8161,127
Band1,WT,8445,114
Band1,KO,7983,160
Band1,WT,8444,423
Band1,KO,7981,296
Band1,WT,8446,119
Band1,KO,7984,145
Band1,WT,8467,161
Band1,KO,8465,292
Band2,KO,8466,27.7
Band2,WT,8162,27.2
Band2,KO,8161,64.3
Band2,WT,8445,19.7
Band2,KO,7983,39.8
Band2,WT,8444,106
Band2,KO,7981,88.2
Band2,WT,8446,43.7
Band2,KO,7984,43.9
Band2,WT,8467,33.3
Band2,KO,8465,68.4
Band6,KO,8466,60.6
Band6,WT,8162,56.6
Band6,KO,8161,115
Band6,WT,8445,47.5
Band6,KO,7983,64
Band6,WT,8444,116
Band6,KO,7981,116
Band6,WT,8446,98.8
Band6,KO,7984,91.7
Band6,WT,8467,46.6
Band6,KO,8465,124
Band8,KO,8466,101
Band8,WT,8162,62.8
Band8,KO,8161,95.6
Band8,WT,8445,82
Band8,KO,7983,81.6
Band8,WT,8444,84.7
Band8,KO,7981,104
Band8,WT,8446,97.5
Band8,KO,7984,71.7
Band8,WT,8467,64.2
Band8,KO,8465,119
