"","MaternalGenotype","ID","BW","Fat","Lean","FreeWater","TotalWater","Date","DayfromDelivery","Notes","FoodIntake","Week","X13","X14","X15","X16","X17","X18","X19","X20","leanchange","fatchange","caloriesconsumed","calorieschange","feedingeff"
"1","KO",7984,20.7,1.87,16.45,0.6,14.11,"5/20/19",-20,"",NA,NA,"","Food missed for week 1 of mating",NA,NA,"","",NA,"",-1.28,6.75,NA,5.47,NA
"2","KO",7983,21.7,1.7,17.41,0,15.18,"5/20/19",-18,"",NA,NA,"","",NA,NA,"","",NA,"",3.28,-3.69,NA,-0.409999999999998,NA
"3","KO",7981,21.3,1.36,18.4,0.11,16.56,"5/20/19",-19,"",NA,NA,"","",NA,NA,"","",NA,"",-6.31999999999999,5.22,NA,-1.09999999999999,NA
"4","WT",7982,24.2,3.17,18.53,0.06,15.94,"5/20/19",-31,"",NA,NA,"","",NA,NA,"","",NA,"",1.31999999999999,-7.92,NA,-6.60000000000001,NA
"5","WT",8162,19.6,1.96,15.34,0.06,13.6,"5/20/19",-16,"",NA,NA,"","",NA,NA,"","",NA,"",-2.52,7.74,NA,5.22,NA
"6","KO",8161,17.7,1.65,14.06,0.16,12.45,"5/20/19",-17,"",NA,NA,"","",NA,NA,"","",NA,"",2.36,1.17,NA,3.53,NA
"7","KO",7984,21.4,2.62,16.13,0,14.39,"5/22/19",-18,"",NA,NA,"","",NA,NA,"","",NA,"",9.08,-5.04,NA,5.47,NA
"8","KO",7983,22.2,1.29,18.23,0,16.19,"5/22/19",-16,"",NA,NA,"","",NA,NA,"","",NA,"",-1.16,3.87,NA,-0.409999999999998,NA
"9","KO",7981,21.5,1.94,16.82,0.11,14.3,"5/22/19",-17,"",NA,NA,"","",NA,NA,"","",NA,"",-1,0.45,NA,-1.09999999999999,NA
"10","WT",7982,23.6,2.29,18.86,0.02,16.78,"5/22/19",-29,"",NA,NA,"","",NA,NA,"","",NA,"",-4.56,11.88,NA,-6.60000000000001,NA
"11","WT",8162,20.1,2.82,14.71,0.24,12.87,"5/22/19",-14,"",NA,NA,"","",NA,NA,"","",NA,"",1.91999999999999,0.270000000000002,NA,5.22,NA
"12","KO",8161,18.8,1.78,14.65,0,12.09,"5/22/19",-15,"",NA,NA,"","",NA,NA,"","",NA,"",0.559999999999995,1.35,NA,3.53,NA
"13","KO",7984,22.8,2.06,18.4,0.31,16.15,"5/24/19",-16,"",26.85,2,"","Food calculated as remaining-original divided by 2 since male was in there breeding",NA,NA,"","",NA,"",3.24000000000001,2.43,78.1335,5.67000000000001,7.25681045902207
"14","KO",7983,22.2,1.72,17.94,0,15.76,"5/24/19",-14,"",28.45,2,"","",NA,NA,"","",NA,"",3.28,1.26,82.7895,4.54,5.48378719523611
"15","KO",7981,21.4,1.99,16.57,0,14.74,"5/24/19",-15,"",23.5,2,"","",NA,NA,"","",NA,"",6.40000000000001,0.359999999999998,68.385,6.76,9.88520874460774
"16","WT",7982,23.7,3.61,17.72,0,15.19,"5/24/19",-27,"",23.65,2,"","",NA,NA,"","",NA,"",3.04000000000001,-0.809999999999999,68.8215,2.23000000000001,3.24026648649042
