MaternalID,MaternalGenotype,PND1,BirthDate,Parity
8162,WT,1.069,6/5/19,1
8162,WT,1.267,6/5/19,1
8162,WT,1.208,6/5/19,1
8162,WT,1.353,6/5/19,1
8162,WT,1.373,6/5/19,1
8162,WT,1.371,6/5/19,1
8162,WT,1.4,6/5/19,1
8161,KO,1.336,6/6/19,1
8161,KO,1.219,6/6/19,1
8161,KO,1.283,6/6/19,1
8161,KO,1.175,6/6/19,1
8161,KO,1.158,6/6/19,1
8161,KO,1.317,6/6/19,1
8161,KO,1.172,6/6/19,1
8161,KO,1.19,6/6/19,1
7983,KO,1.507,6/7/19,1
7983,KO,1.36,6/7/19,1
7983,KO,1.552,6/7/19,1
7981,KO,1.46,6/8/19,1
7981,KO,1.444,6/8/19,1
7981,KO,1.488,6/8/19,1
7981,KO,1.421,6/8/19,1
7981,KO,1.398,6/8/19,1
7984,KO,1.413,6/9/19,1
7984,KO,1.361,6/9/19,1
7984,KO,1.397,6/9/19,1
7984,KO,1.285,6/9/19,1
7984,KO,1.301,6/9/19,1
7984,KO,1.325,6/9/19,1
7982,WT,1.43,6/20/19,1
7982,WT,1.242,6/20/19,1
7982,WT,1.322,6/20/19,1
7982,WT,1.252,6/20/19,1
7982,WT,1.331,6/20/19,1
7982,WT,1.316,6/20/19,1
7982,WT,1.398,6/20/19,1
8466,KO,1.348,7/3/19,1
8466,KO,1.429,7/3/19,1
8466,KO,1.247,7/3/19,1
8466,KO,1.23,7/3/19,1
8466,KO,1.342,7/3/19,1
8466,KO,1.25,7/3/19,1
8466,KO,1.343,7/3/19,1
8466,KO,1.154,7/3/19,1
8466,KO,1.41,7/3/19,1
8444,WT,1.302,7/5/19,1
8444,WT,1.232,7/5/19,1
8444,WT,1.299,7/5/19,1
8444,WT,1.357,7/5/19,1
8444,WT,1.308,7/5/19,1
8444,WT,1.386,7/5/19,1
8444,WT,1.294,7/5/19,1
8444,WT,1.36,7/5/19,1
8467,WT,1.23,7/6/19,1
8467,WT,1.391,7/6/19,1
8467,WT,1.26,7/6/19,1
8467,WT,1.368,7/6/19,1
8467,WT,1.148,7/6/19,1
8467,WT,1.247,7/6/19,1
8467,WT,1.34,7/6/19,1
8445,WT,1.236,7/6/19,1
8445,WT,1.348,7/6/19,1
8445,WT,1.217,7/6/19,1
8445,WT,1.189,7/6/19,1
8445,WT,1.322,7/6/19,1
8445,WT,1.311,7/6/19,1
8445,WT,1.22,7/6/19,1
8445,WT,1.235,7/6/19,1
8465,KO,1.463,7/8/19,1
8465,KO,1.427,7/8/19,1
8465,KO,1.261,7/8/19,1
8465,KO,1.379,7/8/19,1
8465,KO,1.361,7/8/19,1
8465,KO,1.379,7/8/19,1
8465,KO,1.408,7/8/19,1
8446,WT,1.222,7/8/19,1
8446,WT,1.156,7/8/19,1
8446,WT,1.312,7/8/19,1
8446,WT,1.168,7/8/19,1
8446,WT,1.356,7/8/19,1
8446,WT,1.168,7/8/19,1
8446,WT,1.253,7/8/19,1
8446,WT,1.294,7/8/19,1
8446,WT,1.207,7/8/19,1
