MaternalGenotype,MaternalID,Sex,BW,Fat,Lean,FreeWater,TotalWater,DateofBirth,DateofMRI,Notes
WT,8162,Male,7.6,0.74,6.23,0,5.95,6/5/19,6/21/19,
WT,8162,Male,7.8,0.76,6.58,1.46,4.27,6/5/19,6/21/19,
WT,8162,Female,7.5,0.94,5.91,0.19,5.66,6/5/19,6/21/19,
WT,8162,Female,7.8,0.67,6.5,0,5.27,6/5/19,6/21/19,
KO,8161,Male,8.1,0.95,6.42,0.58,6.73,6/6/19,6/22/19,
KO,8161,Male,8.2,0.98,6.74,0.88,6.13,6/6/19,6/22/19,
KO,8161,Female,7.8,1.01,6.22,1.22,7.23,6/6/19,6/22/19,
KO,8161,Female,7.5,0.68,6.25,0.33,5.93,6/6/19,6/22/19,
KO,7983,Male,7.8,0.76,6.25,0.04,5.86,6/7/19,6/23/19,
KO,7983,Female,10,1.57,7.4,0.18,6.72,6/7/19,6/23/19,
KO,7983,Female,9,1.39,6.94,0.14,6.59,6/7/19,6/23/19,
KO,7981,Male,8.8,1.35,6.91,0.13,6.53,6/8/19,6/24/19,
KO,7981,Male,8.9,1.22,7.18,0.15,6.33,6/8/19,6/24/19,
KO,7981,Female,8.7,1.09,7.06,0,4.1,6/8/19,6/24/19,
KO,7981,Female,8.5,0.97,7.01,0.08,6.6,6/8/19,6/24/19,
KO,7984,Male,8.1,1.02,6.26,0.67,6.71,6/9/19,6/25/19,
KO,7984,Male,8,1.07,6.37,0.33,6.08,6/9/19,6/25/19,
KO,7984,Female,6.9,0.79,5.8,0.44,5.94,6/9/19,6/25/19,
KO,7984,Female,8.2,1.3,6.19,0.52,6.33,6/9/19,6/25/19,
KO,8466,Male,9,1.07,7.21,0.14,6.68,7/3/19,7/19/19,
KO,8466,Male,9,1.13,7.2,0.12,6.72,7/3/19,7/19/19,
KO,8466,Female,8.9,1.12,6.94,0.19,6.58,7/3/19,7/19/19,
KO,8466,Female,9.1,1.1,7.11,0.11,6.67,7/3/19,7/19/19,
WT,8444,Male,8.4,0.85,6.86,0.12,6.47,7/5/19,7/21/19,
WT,8444,Male,8.8,0.98,7.04,0.08,6.62,7/5/19,7/21/19,
WT,8444,Female,8.6,0.95,6.89,0.22,6.5,7/5/19,7/21/19,
WT,8444,Female,8.5,0.88,6.82,0.04,6.45,7/5/19,7/21/19,
WT,8467,Female,8.3,1.12,6.79,0.15,6.48,7/6/19,7/22/19,
WT,8467,Female,7.2,0.88,5.97,0.16,5.72,7/6/19,7/22/19,
WT,8467,Female,7.6,0.97,5.96,0.11,5.68,7/6/19,7/22/19,
WT,8467,Female,7.3,1.03,5.9,0.2,5.53,7/6/19,7/22/19,
WT,8445,Male,9.1,1.47,7.2,0,6.73,7/6/19,7/22/19,
WT,8445,Male,8.1,0.97,6.49,0.1,5.96,7/6/19,7/22/19,
WT,8445,Female,8.5,1.08,6.69,0.07,6.37,7/6/19,7/22/19,
WT,8445,Female,8.4,1.23,6.7,0.12,6.52,7/6/19,7/22/19,
KO,8465,Female,7.9,0.88,6.23,0.25,6.07,7/8/19,7/24/19,
KO,8465,Female,8.6,0.81,7.03,0.29,6.74,7/8/19,7/24/19,
KO,8465,Male,8.5,0.75,7.04,0.19,6.63,7/8/19,7/24/19,
KO,8465,Male,8.4,0.88,6.72,0.21,6.34,7/8/19,7/24/19,
WT,8446,Female,8.6,1.03,6.93,0.56,6.52,7/8/19,7/24/19,
WT,8446,Female,8.8,1.04,7.07,0,6.67,7/8/19,7/24/19,
WT,8446,Male,9.3,1.3,7.03,0.03,6.57,7/8/19,7/24/19,
WT,8446,Male,8.3,0.31,7.32,0.47,7.36,7/8/19,7/24/19,
