age,animal.id,MouseID,Sex,Genotype,values,assay,experiment.date
63,23216,8063,M,+/+,23400,Body Weight,2019-07-23
63,23216,8063,M,+/+,3410,Total Fat Mass,2019-07-23
63,23216,8063,M,+/+,18110,Lean Mass,2019-07-23
70,23216,8063,M,+/+,24800,Body Weight,2019-07-30
70,23216,8063,M,+/+,2900,Total Fat Mass,2019-07-30
70,23216,8063,M,+/+,20530,Lean Mass,2019-07-30
72,23216,8063,M,+/+,"05,22,15,12,08,07,06",Plasma Glucose,2019-08-01
77,23216,8063,M,+/+,24300,Body Weight,2019-08-06
77,23216,8063,M,+/+,3720,Total Fat Mass,2019-08-06
77,23216,8063,M,+/+,19270,Lean Mass,2019-08-06
84,23216,8063,M,+/+,24700,Body Weight,2019-08-13
84,23216,8063,M,+/+,4090,Total Fat Mass,2019-08-13
84,23216,8063,M,+/+,19010,Lean Mass,2019-08-13
91,23216,8063,M,+/+,25200,Body Weight,2019-08-20
91,23216,8063,M,+/+,4490,Total Fat Mass,2019-08-20
91,23216,8063,M,+/+,19020,Lean Mass,2019-08-20
92,23216,8063,M,+/+,"04,24,19,17,12,12,14",Plasma Glucose,2019-08-21
63,23217,8064,M,+/+,24600,Body Weight,2019-07-23
63,23217,8064,M,+/+,4030,Total Fat Mass,2019-07-23
63,23217,8064,M,+/+,18290,Lean Mass,2019-07-23
70,23217,8064,M,+/+,26600,Body Weight,2019-07-30
70,23217,8064,M,+/+,3790,Total Fat Mass,2019-07-30
70,23217,8064,M,+/+,20820,Lean Mass,2019-07-30
72,23217,8064,M,+/+,"04,19,13,18,19,16,14",Plasma Glucose,2019-08-01
77,23217,8064,M,+/+,26700,Body Weight,2019-08-06
77,23217,8064,M,+/+,4700,Total Fat Mass,2019-08-06
77,23217,8064,M,+/+,20280,Lean Mass,2019-08-06
84,23217,8064,M,+/+,27800,Body Weight,2019-08-13
84,23217,8064,M,+/+,5570,Total Fat Mass,2019-08-13
84,23217,8064,M,+/+,20290,Lean Mass,2019-08-13
