Diet,Cohort,Sex,Mouse
Control,1,M,4086
Control,1,M,4087
Control,1,M,4088
Control,1,M,4089
Ketogenic,1,M,4090
Ketogenic,1,M,4091
Ketogenic,1,M,4092
Ketogenic,1,M,4093
Control,1,M,4094
Control,1,M,4095
Control,1,M,4096
Control,1,M,4097
Ketogenic,1,M,4098
Ketogenic,1,M,4099
Ketogenic,1,M,4100
Ketogenic,1,M,4102
Ketogenic,1,F,4103
Ketogenic,1,F,4104
Ketogenic,1,F,4105
Control,1,F,4106
Control,1,F,4107
Control,1,F,4108
Control,1,F,4109
Ketogenic,1,F,4110
Ketogenic,1,F,4111
Ketogenic,1,F,4112
Ketogenic,1,F,4113
Control,1,F,4114
Control,1,F,4115
Control,1,F,4116
Control,1,F,4117
Control,3,M,8063
Control,3,M,8064
Control,3,M,8065
Ketogenic,3,M,8066
Ketogenic,3,M,8067
Ketogenic,3,M,8068
Ketogenic,3,M,8069
Ketogenic,3,M,8070
Ketogenic,3,M,8071
Ketogenic,3,M,8072
Ketogenic,3,M,8073
Ketogenic,3,M,8074
