# Analysis Group Name : Default Analysis Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Description : Including all applicable data files.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created By :bridgeslab@umich.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Last Modified Date : 2018-07-20 08:54:50 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Number of Experiments in Analysis Group : 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# List of instrument types in the study that are imported : QuantStudio 5 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Normalization method : Endogenous Control = Gapd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Reference Sample : 4086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Reference Group : Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Max CT : 40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Confidence Level : 95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,Barcode,Well,Diet,Sample,Target,Task,Amp Score,Amp Status,Cq Conf,Target Efficiency,Cq,Cq (Post IC),Eq. Cq,Quantity,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline Stop,Tm1,Tm2,Tm3,Cq Mean,Cq SE,Intercept,R-Squared,Slope,Efficiency,Omit,FLAGS,AMPNC,AMPSCORE,BADROX,OFFSCALE,NOAMP,NOISE,SPIKE,NOSIGNAL,NOSAMPLE,EXPFAIL,BLFAIL,THOLDFAIL,CTFAIL,HIGHSD,OUTLIERRG,MAXCT,MPOUTLIER,MTP or TM,LOWROX,PRFLOW,PRFDROP,DRNMIN,CQCONF
2017-10-06 184851.eds,,A1,Control,4086,Actb,UNKNOWN,1.5700129,Amp,0.9491979,100,16.316275,16.316275,16.316275,-,TRUE,0.22731464,TRUE,3,11,83.09604,-,-,16.813297,0.49702168,-,-,-,-,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-06 184851.eds,,A2,Ketogenic Diet,4104,Actb,UNKNOWN,1.3921639,Amp,0.7582676,100,18.775274,18.775274,18.775274,-,TRUE,0.22731464,TRUE,3,13,84.12,-,-,17.853657,0.9216175,-,-,-,-,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017-10-06 184851.eds,,A3,Control,4086,Actb,UNKNOWN,1.581381,Amp,0.98557436,100,17.310318,17.310318,17.310318,-,TRUE,0.22731464,TRUE,3,11,82.4134,-,-,16.813297,0.49702168,-,-,-,-,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-06 184851.eds,,A4,Ketogenic Diet,4104,Actb,UNKNOWN,1.5600699,Amp,0.9773902,100,16.93204,16.93204,16.93204,-,TRUE,0.22731464,TRUE,3,11,82.527176,-,-,17.853657,0.9216175,-,-,-,-,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-06 184851.eds,,A5,Control,4086,BDH1,UNKNOWN,1.6401621,Amp,0.98951346,100,27.056433,27.056433,27.056433,-,TRUE,0.1935859,TRUE,3,22,86.85057,-,-,27.859446,0.44509307,-,-,-,-,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-06 184851.eds,,A6,Ketogenic Diet,4104,BDH1,UNKNOWN,1.6311632,Amp,0.9926613,100,27.800825,27.800825,27.800825,-,TRUE,0.1935859,TRUE,3,23,86.7368,-,-,28.29171,0.36578974,-,-,-,-,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-06 184851.eds,,A7,Control,4086,BDH1,UNKNOWN,1.6338767,Amp,0.99084556,100,27.124657,27.124657,27.124657,-,TRUE,0.1935859,TRUE,3,22,86.7368,-,-,27.859446,0.44509307,-,-,-,-,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-06 184851.eds,,A8,Ketogenic Diet,4104,BDH1,UNKNOWN,1.617809,Amp,0.99434304,100,27.53037,27.53037,27.53037,-,TRUE,0.1935859,TRUE,3,21,86.39548,-,-,28.29171,0.36578974,-,-,-,-,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-06 184851.eds,,A9,Control,4086,Gapd,UNKNOWN,1.4758941,Amp,0.9839937,100,16.77083,16.77083,16.77083,-,TRUE,0.33665445,TRUE,3,11,77.97623,-,-,17.19165,0.42082024,-,-,-,-,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-06 184851.eds,,A10,Ketogenic Diet,4104,Gapd,UNKNOWN,1.4714952,Amp,0.9836417,100,16.47056,16.47056,16.47056,-,TRUE,0.33665445,TRUE,3,10,78.658875,-,-,16.674376,0.20381546,-,-,-,-,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
