# File Name: 2024-01-15 Slc16a1.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: Bridgeslab
# Instrument Serial Number: 272530351
# Heated Cover Serial Number: 
# Block serial number: 
# Run Start Date/Time: 2024-01-15 05:23:09 PM UTC
# Run End Data/Time: 2024-01-15 07:10:50 PM UTC
# Run Duration: 107 minutes 41 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-01-15 11:58:28 PM UTC
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported By: guest
# Exported On: 2024-01-15 11:58:38 PM UTC
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4"
"1","A1","FALSE","1753","Rplp0","UNKNOWN","SYBR","NFQ-MGB","AMP","1.647738198271892","","","24.34888898934613","0.9798656623496795","24.48694338250337","0.1413055275074265","TRUE","0.7266989469069179","TRUE","3","17","84.12803649902344","","",""
"2","A2","FALSE","4098","Rplp0","UNKNOWN","SYBR","NFQ-MGB","AMP","1.6172294905098479","","","19.01591205647664","0.9375909651486288","19.007246461805053","0.018118188757089204","TRUE","0.7266989469069179","TRUE","3","11","83.90359497070312","88.16804504394531","",""
"3","A3","FALSE","1746","Rplp0","UNKNOWN","SYBR","NFQ-MGB","AMP","1.638257394279726","","","22.447731429313016","0.9704513252130567","22.56856440039243","0.1274169501585595","TRUE","0.7266989469069179","TRUE","3","16","84.01581573486328","","",""
"4","A4","FALSE","4093","Rplp0","UNKNOWN","SYBR","NFQ-MGB","AMP","1.634679010817417","","","23.763745602164853","0.9877463700252022","23.72630507313166","0.04947047367579975","TRUE","0.7266989469069179","TRUE","3","16","83.90359497070312","","",""
"5","A5","FALSE","4104","Rplp0","UNKNOWN","SYBR","NFQ-MGB","AMP","1.6259807136760571","","","23.089266860776128","0.9828230006895662","22.84627314468244","0.23358562127583568","TRUE","0.7266989469069179","TRUE","3","16","83.93790435791016","","",""
"6","A6","FALSE","4108","Rplp0","UNKNOWN","SYBR","NFQ-MGB","AMP","1.6298895731657594","","","22.722088730052988","0.9796982254104697","23.224173478001244","0.8051775889869383","TRUE","0.7266989469069179","TRUE","3","17","83.93790435791016","","",""
"7","A7","FALSE","1753","Rplp0","UNKNOWN","SYBR","NFQ-MGB","AMP","1.6282575909749737","","","24.631289836257558","0.9885703745169215","24.48694338250337","0.1413055275074265","TRUE","0.7266989469069179","TRUE","3","17","83.82551574707031","","",""
"8","A8","FALSE","4098","Rplp0","UNKNOWN","SYBR","NFQ-MGB","AMP","1.616363661201721","","","19.019404551817843","0.9507324628642891","19.007246461805053","0.018118188757089204","TRUE","0.7266989469069179","TRUE","3","11","83.93790435791016","","",""
"9","A9","FALSE","1746","Rplp0","UNKNOWN","SYBR","NFQ-MGB","AMP","1.6221511041871115","","","22.701676305407844","0.9760140964076146","22.56856440039243","0.1274169501585595","TRUE","0.7266989469069179","TRUE","3","15","83.8116455078125","","",""
"10","A10","FALSE","4093","Rplp0","UNKNOWN","SYBR","NFQ-MGB","AMP","1.6327756025676523","","","23.670221954669508","0.9883004820243303","23.72630507313166","0.04947047367579975","TRUE","0.7266989469069179","TRUE","3","15","83.92396545410156","","",""
