# File Name: 2024-01-150-Bdh.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: Bridgeslab
# Instrument Serial Number: 272530351
# Heated Cover Serial Number: 
# Block serial number: 
# Run Start Date/Time: 2024-01-15 07:14:21 PM UTC
# Run End Data/Time: 2024-01-15 09:00:56 PM UTC
# Run Duration: 106 minutes 34 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-01-15 11:58:20 PM UTC
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported By: guest
# Exported On: 2024-01-15 11:58:47 PM UTC
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4"
"1","A1","FALSE","1753","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5583462241949553","","","31.77053828853247","0.9834421745124882","32.358997162685455","0.9295898280314928","TRUE","0.2933691948703539","TRUE","3","27","82.78416442871094","","",""
"2","A2","FALSE","4098","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5253094373700025","","","26.188017089391465","0.8934802753960753","26.205978381905357","0.03682232878708259","TRUE","0.2933691948703539","TRUE","3","19","82.67193603515625","","",""
"3","A3","FALSE","1746","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5475097294550488","","","27.563242391753896","0.9790129310388294","27.39091865557016","0.21898578978371813","TRUE","0.2933691948703539","TRUE","3","21","82.67193603515625","","",""
"4","A4","FALSE","4093","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5433062157048492","","","29.351334373454655","0.99135505834569","29.421850384014515","0.12363170882334851","TRUE","0.2933691948703539","TRUE","3","23","82.67193603515625","","",""
"5","A5","FALSE","4104","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.568778714007023","","","28.739000213729476","0.9795312956176035","28.80368417444163","0.14455469782756133","TRUE","0.2933691948703539","TRUE","3","23","83.03993225097656","","",""
"6","A6","FALSE","4108","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5549457799607296","","","28.734764834730484","0.9696149594740451","29.593172390789515","0.7981897949169204","TRUE","0.2933691948703539","TRUE","3","23","82.81515502929688","","",""
"7","A7","FALSE","1753","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5523872469435207","","","33.43067393781932","0.9840492976997516","32.358997162685455","0.9295898280314928","TRUE","0.2933691948703539","TRUE","3","27","82.70277404785156","","",""
"8","A8","FALSE","4098","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.538345545558187","","","26.181583470106467","0.8985901161559998","26.205978381905357","0.03682232878708259","TRUE","0.2933691948703539","TRUE","3","20","82.81515502929688","","",""
"9","A9","FALSE","1746","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5533083730354253","","","27.465016494167145","0.9759015916111645","27.39091865557016","0.21898578978371813","TRUE","0.2933691948703539","TRUE","3","22","82.68890380859375","","",""
"10","A10","FALSE","4093","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5583676619569342","","","29.56460452233101","0.9871983241700173","29.421850384014515","0.12363170882334851","TRUE","0.2933691948703539","TRUE","3","24","82.80122375488281","","",""
"11","A11","FALSE","4104","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5425064147589311","","","28.644411685742753","0.9913770572697607","28.80368417444163","0.14455469782756133","TRUE","0.2933691948703539","TRUE","3","23","82.1273193359375","","",""
"12","A12","FALSE","4108","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5260360955497374","","","29.10279941135176","0.9745536861151856","29.593172390789515","0.7981897949169204","TRUE","0.2933691948703539","TRUE","3","23","82.01500701904297","","",""
"13","A13","FALSE","1753","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5499776525120486","","","31.875779261704572","0.986472980471996","32.358997162685455","0.9295898280314928","TRUE","0.2933691948703539","TRUE","3","27","82.32070922851562","","",""
"14","A14","FALSE","4098","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5354331782705002","","","26.24833458621815","0.9092238983928106","26.205978381905357","0.03682232878708259","TRUE","0.2933691948703539","TRUE","3","21","82.65718078613281","","",""
"15","A15","FALSE","1746","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5452779942520618","","","27.144497080789442","0.9927622755328355","27.39091865557016","0.21898578978371813","TRUE","0.2933691948703539","TRUE","3","21","82.76934814453125","","",""
"16","A16","FALSE","4093","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.542572916819749","","","29.34961225625787","0.9884481344127949","29.421850384014515","0.12363170882334851","TRUE","0.2933691948703539","TRUE","3","23","82.54502868652344","","",""
"17","A17","FALSE","4104","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.554336461037855","","","28.935212006964186","0.9831907991405929","28.80368417444163","0.14455469782756133","TRUE","0.2933691948703539","TRUE","3","23","82.83622741699219","","",""
"18","A18","FALSE","4108","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5490667612920572","","","28.92018585386854","0.9670919192845225","29.593172390789515","0.7981897949169204","TRUE","0.2933691948703539","TRUE","3","23","82.72428894042969","","",""
"19","A19","FALSE",,"Bdh1","UNKNOWN","SYBR","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.2933691948703539","TRUE","3","39","92.46305847167969","72.64970397949219","64.47809600830078","67.38853454589844"
"20","A20","FALSE",,"Bdh1","UNKNOWN","SYBR","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.2933691948703539","TRUE","3","39","86.30636596679688","73.65716552734375","77.57505798339844","65.03779602050781"
"21","A21","FALSE",,"Bdh1","UNKNOWN","SYBR","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.2933691948703539","TRUE","3","39","72.73665618896484","76.75849914550781","69.83198547363281","65.02811431884766"
"22","A22","FALSE",,"Bdh1","UNKNOWN","SYBR","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.2933691948703539","TRUE","3","39","76.42334747314453","78.99285888671875","83.34986877441406","70.27885437011719"
"23","A23","FALSE",,"Bdh1","UNKNOWN","SYBR","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.2933691948703539","TRUE","3","39","66.03357696533203","76.98194122314453","80.8920669555664","70.27885437011719"
"24","A24","FALSE",,"Bdh1","UNKNOWN","SYBR","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.2933691948703539","TRUE","3","39","83.46157836914062","63.017189025878906","73.29524230957031","69.38511657714844"
"25","B1","FALSE","4100","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5320053613009197","","","27.44405333343532","0.9392236532286841","27.513768598847292","0.06454384655599049","TRUE","0.2933691948703539","TRUE","3","22","82.78416442871094","","",""
"26","B2","FALSE","1740","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.529592810993855","","","27.687939484107126","0.964593403843124","27.606983169301813","0.1004156912099465","TRUE","0.2933691948703539","TRUE","3","21","82.67193603515625","","",""
"27","B3","FALSE","4089","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5426875930036237","","","27.226005782189674","0.9775121387155089","27.160324343845627","0.09265283425802891","TRUE","0.2933691948703539","TRUE","3","22","82.55970764160156","","",""
"28","B4","FALSE","4087","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5384581820214918","","","28.419740485574316","0.9916148676320592","28.320986727624675","0.15450389901736944","TRUE","0.2933691948703539","TRUE","3","23","82.67193603515625","","",""
"29","B5","FALSE","4113","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5517780992561392","","","28.27184720056256","0.9757065620804564","28.370543614966195","0.13372421137209609","TRUE","0.2933691948703539","TRUE","3","22","83.03993225097656","","",""
"30","B6","FALSE","4109","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5353214803188997","","","25.610191381679044","0.8775377478366242","25.569029080378645","0.043091348191080694","TRUE","0.2933691948703539","TRUE","3","20","82.81515502929688","","",""
"31","B7","FALSE","4100","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.4911175581488527","","","27.5714460574654","0.9473641971254892","27.513768598847292","0.06454384655599049","TRUE","0.2933691948703539","TRUE","3","23","82.4780044555664","","",""
"32","B8","FALSE","1740","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5409254775067278","","","27.494617131411673","0.9788745211155845","27.606983169301813","0.1004156912099465","TRUE","0.2933691948703539","TRUE","3","21","82.70277404785156","","",""
"33","B9","FALSE","4089","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.55129562660514","","","27.200620545507256","0.9813878050973517","27.160324343845627","0.09265283425802891","TRUE","0.2933691948703539","TRUE","3","21","82.80122375488281","","",""
