Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Threshold,Baseline Start,Baseline End,Tm1,Curve Quality,Result Quality Issues
A1,false,4086,Rplp0,Unknown,SYBR,22.453530798949252,0.985861100326072,2.807981269378843,Amp,false,58167.02598830112,3,15,84.7425308227539,,
A2,false,4086,Rplp0,Unknown,SYBR,22.712211573081582,0.9823589609620705,2.7788147871761426,Amp,false,58167.02598830112,3,14,84.62955474853516,,
A3,false,4086,Rplp0,Unknown,SYBR,22.84341693150327,0.9940906813672782,2.7832923835756525,Amp,false,58167.02598830112,3,16,84.7425308227539,,
B1,false,4087,Rplp0,Unknown,SYBR,20.134517026791592,0.9794003898392702,2.7246016069260306,Amp,false,58167.02598830112,3,10,84.7425308227539,,
B2,false,4087,Rplp0,Unknown,SYBR,20.051391515784736,0.9749274888204162,2.776254934863402,Amp,false,58167.02598830112,3,11,84.62955474853516,,
B3,false,4087,Rplp0,Unknown,SYBR,20.23271556220874,0.9740484492189225,2.7773293723894006,Amp,false,58167.02598830112,3,12,84.1776351928711,,
C1,false,4088,Rplp0,Unknown,SYBR,22.278602304090548,0.9880905317970406,2.7569984389511912,Amp,false,58167.02598830112,3,11,84.62955474853516,,
C2,false,4088,Rplp0,Unknown,SYBR,22.48245235226159,0.9773625173012888,2.7621207352402295,Amp,false,58167.02598830112,3,14,84.62955474853516,,
C3,false,4088,Rplp0,Unknown,SYBR,22.51848132084765,0.9852293756266532,2.7530018870361426,Amp,false,58167.02598830112,3,13,84.7425308227539,,
D1,false,4089,Rplp0,Unknown,SYBR,20.483179433942908,0.9812427203161671,2.7605166189113706,Amp,false,58167.02598830112,3,14,84.62955474853516,,
D2,false,4089,Rplp0,Unknown,SYBR,20.692345976758524,0.9868003461939913,2.7527211538455134,Amp,false,58167.02598830112,3,12,84.62955474853516,,
D3,false,4089,Rplp0,Unknown,SYBR,20.723168493153146,0.9750652442421522,2.7555906414656426,Amp,false,58167.02598830112,3,13,84.7425308227539,,
E1,false,4090,Rplp0,Unknown,SYBR,21.890238623811577,0.9823122660872664,2.75215480376547,Amp,false,58167.02598830112,3,13,84.7425308227539,,
E2,false,4090,Rplp0,Unknown,SYBR,21.68075814964255,0.981055569141773,2.779832096099432,Amp,false,58167.02598830112,3,12,84.62955474853516,,
E3,false,4090,Rplp0,Unknown,SYBR,21.794201467945427,0.9836062772928952,2.775664060735488,Amp,false,58167.02598830112,3,14,84.62955474853516,,
F1,false,4091,Rplp0,Unknown,SYBR,20.883253075621077,0.9887540224393369,2.762825499184356,Amp,false,58167.02598830112,3,14,84.7425308227539,,
F2,false,4091,Rplp0,Unknown,SYBR,20.987814447353514,0.9836057541446631,2.7785292794722185,Amp,false,58167.02598830112,3,15,84.62955474853516,,
F3,false,4091,Rplp0,Unknown,SYBR,21.05980958241871,0.9820626940186672,2.796758422906252,Amp,false,58167.02598830112,3,12,84.7425308227539,,
G1,false,4092,Rplp0,Unknown,SYBR,23.47540303227838,0.9860225194100214,2.772299554918928,Amp,false,58167.02598830112,3,14,84.85551452636719,,
G2,false,4092,Rplp0,Unknown,SYBR,23.528400414410754,0.9886341365135719,2.7536063498462746,Amp,false,58167.02598830112,3,13,84.7425308227539,,
G3,false,4092,Rplp0,Unknown,SYBR,23.363718491484917,0.9906323767898592,2.79019029551153,Amp,false,58167.02598830112,3,14,84.62955474853516,,
H1,false,4093,Rplp0,Unknown,SYBR,20.419984184218023,0.9783948371106631,2.7771075704841195,Amp,false,58167.02598830112,3,12,84.85551452636719,,
H2,false,4093,Rplp0,Unknown,SYBR,20.771360962821063,0.9738662086301196,2.7519652096647844,Amp,false,58167.02598830112,3,13,84.7425308227539,,
H3,false,4093,Rplp0,Unknown,SYBR,20.822362638336458,0.9838346547310818,2.766680261671579,Amp,false,58167.02598830112,3,12,84.7425308227539,,
