,ID,BW1,BW2,BW3,BW4,BW5,BW6,BG1,BG2,BK_0,BK_15,BK_30,BK_45,BK_60,FK_0,FK_15,FK_30,FK_45,FK_60,EWAT,FIB,FI4,FI5,FI6,X,Cck_intestine,Fgf15_intestine,Fgf23_intestine,Gcg_intestine,Gdf15_intestine,Npc1l1_intestine,PYY_intestine,Cholesterol_Baseline,Cholesterol_Followup,TG_Baseline,TG_Followup,Glycerol_Baseline,Glycerol_Followup
1,3901,26.8,29.3,29.9,33,33.7,32.9,179,168,0.6,4.1,1.2,1.3,0.5,0.5,5.2,3.1,1.4,0.8,0.5656,NA,NA,NA,NA,1,2.662245278,NA,0.2652385,NA,0.934661309,1.081746497,1.921315527,70.64395292,101.6211849,1.120933097,1.570944296,0.23558761,0.939432327
2,3902,23.7,28,28.3,32.1,33.2,32.8,210,264,0.3,4.8,2.2,0.8,0.5,0.4,2.8,2.8,1.9,1.4,0.6308,NA,NA,NA,NA,2,2.401951937,NA,0.946637612,0.903900936,1.806074987,1.019342595,4.026065793,75.27930668,107.4562172,1.733179448,1.040939683,0.210450298,0.641375636
3,3903,24,29.6,29.3,32.9,36.2,37.2,185,181,0.4,4.1,2.6,0.8,0.5,0.4,3.5,3.6,1.6,0.8,0.6027,NA,NA,NA,NA,3,0.750640972,NA,0.967382972,NA,0.994410745,0.738310944,NA,91.49793985,31.53953679,0.664521847,NA,0.142220453,NA
4,3904,23.4,27.8,28.4,30.6,31.3,31.8,170,185,0.6,3.5,2,1.1,0.6,0.9,1.8,2,1.7,1.2,0.8929,NA,NA,NA,NA,4,1.008935681,0.862206133,0.228831895,NA,1.07524894,0.737264477,0.441482109,85.41786679,125.5126559,0.875403035,0.090117031,0.257133877,0.343318944
5,3905,23.2,28.1,28.8,31.5,31.6,34.7,163,174,0.6,4.4,2.7,1.5,1.1,0.6,3.3,2.9,1.9,1.3,NA,NA,NA,NA,NA,5,0.595872706,NA,0.579958314,NA,1.209750662,0.742686226,0.83378217,79.13869815,136.4629134,1.38575742,0.079375265,0.418730878,1.032799484
6,3906,21.8,24.6,25.7,28.5,25.6,24.8,148,139,0.7,3.4,2.5,2.1,1.6,1.1,4.1,4.3,2.6,1.2,0.4927,NA,NA,NA,NA,6,1.439863005,0.10736416,6.075295749,6.657668693,0.11498767,0.004275996,0.894337836,68.66320704,85.60164734,0.500401704,0.537964738,0.102718964,0.469005501
7,3907,29.2,35.7,34.5,40.2,41.2,45,197,209,0.6,3.8,1.8,1.1,0.9,0.4,2.9,2.4,1.5,1.1,1.615,NA,NA,NA,NA,7,0.582139603,NA,0.183819597,NA,0.383425289,0.253049779,0.130282151,105.6337268,107.8697235,1.062412166,0.317258436,0.188904032,0.285862232
8,3908,23.2,29.1,29.9,32.3,26.1,29.8,146,199,0.4,3.3,1.4,0.8,0.5,0.7,2,1.8,1.2,0.8,0.3626,NA,NA,NA,NA,8,0.746166776,NA,0.452479063,NA,0.778630481,0.722819024,0.280019468,100.7941725,100.1356255,0.668542643,0.683301522,0.501324901,0.479778634
9,3909,27.9,39.5,37.8,45.2,47.3,46.5,149,237,0.4,3.2,1.9,0.8,0.4,0.8,4.4,4.7,4.3,3.7,1.1045,NA,NA,NA,NA,9,1.133788226,3.196392394,0.327749578,0.336810929,1.284401502,0.889487666,0.840971573,136.5854337,144.1357512,1.769639528,0.525299248,0.411548789,0.328954766
10,3910,26.4,33.8,34.6,37.3,37.4,40.5,129,171,0.6,2.9,2.1,1.1,1,0.7,3.7,3.9,2.7,1.8,0.9927,NA,NA,NA,NA,10,0.716832345,NA,1.037226462,NA,0.416251367,1.368078943,1.340284884,90.16553089,115.4200409,1.308100845,0.309523028,0.102718964,0.364865211
