"","age","animal.Alive","animal.Background","animal.Cage","animal.Cause_of_Death","animal.Death","animal.Gender","animal.Genotype","animal.MouseID","animal.age","animal.id","animal.strain.Strain","assay.assay","experiment.date","experiment.feeding_state","id","values","KetogenicDiet","Diet"
"1",64,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4086,101,16951,"A/J","Body Weight","2017-06-21","fed",96234,"24700",FALSE,"Control Diet"
"2",64,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4086,101,16951,"A/J","Total Fat Mass","2017-06-21","fed",96266,"4230",FALSE,"Control Diet"
"3",64,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4086,101,16951,"A/J","Lean Mass","2017-06-21","fed",96298,"18840",FALSE,"Control Diet"
"4",86,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4086,101,16951,"A/J","Body Weight","2017-07-13","fed",96342,"27900",FALSE,"Control Diet"
"5",86,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4086,101,16951,"A/J","Total Fat Mass","2017-07-13","fed",96389,"5480",FALSE,"Control Diet"
"6",86,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4086,101,16951,"A/J","Lean Mass","2017-07-13","fed",96424,"20340",FALSE,"Control Diet"
"7",79,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4086,101,16951,"A/J","Body Weight","2017-07-06","fed",96465,"26900",FALSE,"Control Diet"
"8",79,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4086,101,16951,"A/J","Total Fat Mass","2017-07-06","fed",96500,"4660",FALSE,"Control Diet"
"9",79,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4086,101,16951,"A/J","Lean Mass","2017-07-06","fed",96534,"19800",FALSE,"Control Diet"
"10",71,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4086,101,16951,"A/J","Body Weight","2017-06-28","fed",96647,"25000",FALSE,"Control Diet"
"11",71,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4086,101,16951,"A/J","Total Fat Mass","2017-06-28","fed",96679,"3250",FALSE,"Control Diet"
"12",71,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4086,101,16951,"A/J","Lean Mass","2017-06-28","fed",96711,"19840",FALSE,"Control Diet"
"13",93,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4086,101,16951,"A/J","Body Weight","2017-07-20","fed",97103,"29000",FALSE,"Control Diet"
"14",93,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4086,101,16951,"A/J","Total Fat Mass","2017-07-20","fed",97133,"6030",FALSE,"Control Diet"
"15",93,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4086,101,16951,"A/J","Lean Mass","2017-07-20","fed",97163,"20580",FALSE,"Control Diet"
"16",97,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4086,101,16951,"A/J","Body Weight","2017-07-24","fed",97193,"29100",FALSE,"Control Diet"
"17",97,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4086,101,16951,"A/J","Total Fat Mass","2017-07-24","fed",97222,"6020",FALSE,"Control Diet"
"18",97,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4086,101,16951,"A/J","Lean Mass","2017-07-24","fed",97251,"21380",FALSE,"Control Diet"
"19",64,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4087,101,16952,"A/J","Body Weight","2017-06-21","fed",96232,"22400",FALSE,"Control Diet"
"20",64,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4087,101,16952,"A/J","Total Fat Mass","2017-06-21","fed",96264,"3540",FALSE,"Control Diet"
"21",64,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4087,101,16952,"A/J","Lean Mass","2017-06-21","fed",96296,"17560",FALSE,"Control Diet"
"22",86,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4087,101,16952,"A/J","Body Weight","2017-07-13","fed",96344,"26000",FALSE,"Control Diet"
"23",86,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4087,101,16952,"A/J","Total Fat Mass","2017-07-13","fed",96390,"5000",FALSE,"Control Diet"
"24",86,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4087,101,16952,"A/J","Lean Mass","2017-07-13","fed",96425,"19230",FALSE,"Control Diet"
"25",79,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4087,101,16952,"A/J","Body Weight","2017-07-06","fed",96460,"25100",FALSE,"Control Diet"
"26",79,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4087,101,16952,"A/J","Total Fat Mass","2017-07-06","fed",96497,"4250",FALSE,"Control Diet"
"27",79,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4087,101,16952,"A/J","Lean Mass","2017-07-06","fed",96531,"18820",FALSE,"Control Diet"
"28",71,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4087,101,16952,"A/J","Body Weight","2017-06-28","fed",96649,"23100",FALSE,"Control Diet"
"29",71,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4087,101,16952,"A/J","Total Fat Mass","2017-06-28","fed",96681,"2760",FALSE,"Control Diet"
"30",71,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4087,101,16952,"A/J","Lean Mass","2017-06-28","fed",96713,"18590",FALSE,"Control Diet"
"31",93,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4087,101,16952,"A/J","Body Weight","2017-07-20","fed",97106,"27200",FALSE,"Control Diet"
"32",93,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4087,101,16952,"A/J","Total Fat Mass","2017-07-20","fed",97136,"5150",FALSE,"Control Diet"
"33",93,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4087,101,16952,"A/J","Lean Mass","2017-07-20","fed",97166,"20110",FALSE,"Control Diet"
"34",97,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4087,101,16952,"A/J","Body Weight","2017-07-24","fed",97194,"27800",FALSE,"Control Diet"
"35",97,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4087,101,16952,"A/J","Total Fat Mass","2017-07-24","fed",97223,"5340",FALSE,"Control Diet"
"36",97,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4087,101,16952,"A/J","Lean Mass","2017-07-24","fed",97252,"20590",FALSE,"Control Diet"
"37",64,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4088,101,16953,"A/J","Body Weight","2017-06-21","fed",96235,"23100",FALSE,"Control Diet"
"38",64,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4088,101,16953,"A/J","Total Fat Mass","2017-06-21","fed",96267,"2180",FALSE,"Control Diet"
"39",64,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4088,101,16953,"A/J","Lean Mass","2017-06-21","fed",96299,"19260",FALSE,"Control Diet"
"40",86,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4088,101,16953,"A/J","Body Weight","2017-07-13","fed",96341,"25700",FALSE,"Control Diet"
"41",86,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4088,101,16953,"A/J","Total Fat Mass","2017-07-13","fed",96387,"4280",FALSE,"Control Diet"
"42",86,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4088,101,16953,"A/J","Lean Mass","2017-07-13","fed",96423,"19490",FALSE,"Control Diet"
"43",79,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4088,101,16953,"A/J","Body Weight","2017-07-06","fed",96462,"24600",FALSE,"Control Diet"
"44",79,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4088,101,16953,"A/J","Total Fat Mass","2017-07-06","fed",96498,"3560",FALSE,"Control Diet"
"45",79,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4088,101,16953,"A/J","Lean Mass","2017-07-06","fed",96532,"19050",FALSE,"Control Diet"
"46",71,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4088,101,16953,"A/J","Body Weight","2017-06-28","fed",96648,"24000",FALSE,"Control Diet"
"47",71,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4088,101,16953,"A/J","Total Fat Mass","2017-06-28","fed",96680,"1980",FALSE,"Control Diet"
"48",71,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4088,101,16953,"A/J","Lean Mass","2017-06-28","fed",96712,"20110",FALSE,"Control Diet"
"49",93,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4088,101,16953,"A/J","Body Weight","2017-07-20","fed",97105,"25700",FALSE,"Control Diet"
"50",93,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4088,101,16953,"A/J","Total Fat Mass","2017-07-20","fed",97135,"4680",FALSE,"Control Diet"
"51",93,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4088,101,16953,"A/J","Lean Mass","2017-07-20","fed",97165,"18990",FALSE,"Control Diet"
"52",97,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4088,101,16953,"A/J","Body Weight","2017-07-24","fed",97196,"25900",FALSE,"Control Diet"
"53",97,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4088,101,16953,"A/J","Total Fat Mass","2017-07-24","fed",97225,"4740",FALSE,"Control Diet"
"54",97,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4088,101,16953,"A/J","Lean Mass","2017-07-24","fed",97254,"19360",FALSE,"Control Diet"
"55",64,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4089,101,16954,"A/J","Body Weight","2017-06-21","fed",96233,"23500",FALSE,"Control Diet"
"56",64,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4089,101,16954,"A/J","Total Fat Mass","2017-06-21","fed",96265,"3960",FALSE,"Control Diet"
"57",64,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4089,101,16954,"A/J","Lean Mass","2017-06-21","fed",96297,"17820",FALSE,"Control Diet"
"58",86,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4089,101,16954,"A/J","Body Weight","2017-07-13","fed",96345,"28100",FALSE,"Control Diet"
"59",86,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4089,101,16954,"A/J","Total Fat Mass","2017-07-13","fed",96391,"5920",FALSE,"Control Diet"
"60",86,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4089,101,16954,"A/J","Lean Mass","2017-07-13","fed",96426,"20150",FALSE,"Control Diet"
"61",79,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4089,101,16954,"A/J","Body Weight","2017-07-06","fed",96463,"26300",FALSE,"Control Diet"
"62",79,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4089,101,16954,"A/J","Total Fat Mass","2017-07-06","fed",96499,"4820",FALSE,"Control Diet"
"63",79,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4089,101,16954,"A/J","Lean Mass","2017-07-06","fed",96533,"19450",FALSE,"Control Diet"
"64",71,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4089,101,16954,"A/J","Body Weight","2017-06-28","fed",96646,"23700",FALSE,"Control Diet"
"65",71,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4089,101,16954,"A/J","Total Fat Mass","2017-06-28","fed",96678,"3370",FALSE,"Control Diet"
"66",71,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4089,101,16954,"A/J","Lean Mass","2017-06-28","fed",96710,"18670",FALSE,"Control Diet"
"67",93,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4089,101,16954,"A/J","Body Weight","2017-07-20","fed",97104,"29000",FALSE,"Control Diet"
"68",93,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4089,101,16954,"A/J","Total Fat Mass","2017-07-20","fed",97134,"6800",FALSE,"Control Diet"
"69",93,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4089,101,16954,"A/J","Lean Mass","2017-07-20","fed",97164,"20150",FALSE,"Control Diet"
"70",97,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4089,101,16954,"A/J","Body Weight","2017-07-24","fed",97195,"28900",FALSE,"Control Diet"
"71",97,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4089,101,16954,"A/J","Total Fat Mass","2017-07-24","fed",97224,"6810",FALSE,"Control Diet"
"72",97,FALSE,"Mixed",852004,"Sacrificed","2017-07-28","M","+/+",4089,101,16954,"A/J","Lean Mass","2017-07-24","fed",97253,"20490",FALSE,"Control Diet"
"73",64,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4090,101,16955,"A/J","Body Weight","2017-06-21","fed",96238,"24700",TRUE,"Ketogenic Diet"
"74",64,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4090,101,16955,"A/J","Total Fat Mass","2017-06-21","fed",96270,"3730",TRUE,"Ketogenic Diet"
"75",64,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4090,101,16955,"A/J","Lean Mass","2017-06-21","fed",96302,"19110",TRUE,"Ketogenic Diet"
"76",86,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4090,101,16955,"A/J","Body Weight","2017-07-13","fed",96359,"24400",TRUE,"Ketogenic Diet"
"77",86,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4090,101,16955,"A/J","Total Fat Mass","2017-07-13","fed",96402,"3800",TRUE,"Ketogenic Diet"
"78",86,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4090,101,16955,"A/J","Lean Mass","2017-07-13","fed",96437,"18730",TRUE,"Ketogenic Diet"
"79",79,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4090,101,16955,"A/J","Body Weight","2017-07-06","fed",96482,"24700",TRUE,"Ketogenic Diet"
"80",79,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4090,101,16955,"A/J","Total Fat Mass","2017-07-06","fed",96514,"4300",TRUE,"Ketogenic Diet"
"81",79,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4090,101,16955,"A/J","Lean Mass","2017-07-06","fed",96548,"18370",TRUE,"Ketogenic Diet"
"82",71,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4090,101,16955,"A/J","Body Weight","2017-06-28","fed",96644,"24600",TRUE,"Ketogenic Diet"
"83",71,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4090,101,16955,"A/J","Total Fat Mass","2017-06-28","fed",96676,"3510",TRUE,"Ketogenic Diet"
"84",71,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4090,101,16955,"A/J","Lean Mass","2017-06-28","fed",96708,"19260",TRUE,"Ketogenic Diet"
"85",93,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4090,101,16955,"A/J","Body Weight","2017-07-20","fed",97116,"24200",TRUE,"Ketogenic Diet"
"86",93,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4090,101,16955,"A/J","Total Fat Mass","2017-07-20","fed",97146,"3250",TRUE,"Ketogenic Diet"
"87",93,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4090,101,16955,"A/J","Lean Mass","2017-07-20","fed",97176,"19110",TRUE,"Ketogenic Diet"
"88",97,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4090,101,16955,"A/J","Body Weight","2017-07-24","fed",97205,"24100",TRUE,"Ketogenic Diet"
"89",97,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4090,101,16955,"A/J","Total Fat Mass","2017-07-24","fed",97234,"2130",TRUE,"Ketogenic Diet"
"90",97,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4090,101,16955,"A/J","Lean Mass","2017-07-24","fed",97263,"19900",TRUE,"Ketogenic Diet"
