age,animal.id,MouseID,Sex,Genotype,values,assay,experiment.date
24,22619,8651,M,-/-,8700,Body Weight,2019-06-10
24,22619,8651,M,-/-,620,Total Fat Mass,2019-06-10
24,22619,8651,M,-/-,7110,Lean Mass,2019-06-10
31,22619,8651,M,-/-,14100,Body Weight,2019-06-17
31,22619,8651,M,-/-,2100,Total Fat Mass,2019-06-17
31,22619,8651,M,-/-,10890,Lean Mass,2019-06-17
38,22619,8651,M,-/-,17600,Body Weight,2019-06-24
38,22619,8651,M,-/-,1090,Total Fat Mass,2019-06-24
38,22619,8651,M,-/-,14980,Lean Mass,2019-06-24
45,22619,8651,M,-/-,19700,Body Weight,2019-07-01
45,22619,8651,M,-/-,1140,Total Fat Mass,2019-07-01
45,22619,8651,M,-/-,16720,Lean Mass,2019-07-01
52,22619,8651,M,-/-,21100,Body Weight,2019-07-08
52,22619,8651,M,-/-,2300,Total Fat Mass,2019-07-08
52,22619,8651,M,-/-,16930,Lean Mass,2019-07-08
59,22619,8651,M,-/-,21500,Body Weight,2019-07-15
59,22619,8651,M,-/-,1060,Total Fat Mass,2019-07-15
59,22619,8651,M,-/-,18000,Lean Mass,2019-07-15
66,22619,8651,M,-/-,22000,Body Weight,2019-07-22
66,22619,8651,M,-/-,1300,Total Fat Mass,2019-07-22
66,22619,8651,M,-/-,18920,Lean Mass,2019-07-22
73,22619,8651,M,-/-,23000,Body Weight,2019-07-29
73,22619,8651,M,-/-,1240,Total Fat Mass,2019-07-29
73,22619,8651,M,-/-,19500,Lean Mass,2019-07-29
80,22619,8651,M,-/-,23200,Body Weight,2019-08-05
80,22619,8651,M,-/-,1940,Total Fat Mass,2019-08-05
80,22619,8651,M,-/-,19450,Lean Mass,2019-08-05
103,22619,8651,M,-/-,25200,Body Weight,2019-08-28
103,22619,8651,M,-/-,4190,Total Fat Mass,2019-08-28
82,22619,8651,M,-/-,"181,250,186,166,204,240,244,226,229",Plasma Glucose,2019-08-07
94,22619,8651,M,-/-,2830,Total Fat Mass,2019-08-19
94,22619,8651,M,-/-,18650,Lean Mass,2019-08-19
94,22619,8651,M,-/-,23300,Body Weight,2019-08-19
87,22619,8651,M,-/-,23500,Body Weight,2019-08-12
87,22619,8651,M,-/-,2800,Total Fat Mass,2019-08-12
87,22619,8651,M,-/-,18590,Lean Mass,2019-08-12
101,22619,8651,M,-/-,24700,Body Weight,2019-08-26
101,22619,8651,M,-/-,3680,Total Fat Mass,2019-08-26
101,22619,8651,M,-/-,18960,Lean Mass,2019-08-26
103,22619,8651,M,-/-,25200,Body Weight,2019-08-28
103,22619,8651,M,-/-,4190,Total Fat Mass,2019-08-28
103,22619,8651,M,-/-,19200,Lean Mass,2019-08-28
103,22619,8651,M,-/-,25200,Body Weight,2019-08-28
103,22619,8651,M,-/-,4190,Total Fat Mass,2019-08-28
103,22619,8651,M,-/-,19200,Lean Mass,2019-08-28
24,22620,8652,M,-/-,7900,Body Weight,2019-06-10
24,22620,8652,M,-/-,700,Total Fat Mass,2019-06-10
24,22620,8652,M,-/-,6290,Lean Mass,2019-06-10
31,22620,8652,M,-/-,12800,Body Weight,2019-06-17
31,22620,8652,M,-/-,1640,Total Fat Mass,2019-06-17
31,22620,8652,M,-/-,9930,Lean Mass,2019-06-17
38,22620,8652,M,-/-,18200,Body Weight,2019-06-24
38,22620,8652,M,-/-,1280,Total Fat Mass,2019-06-24
38,22620,8652,M,-/-,15330,Lean Mass,2019-06-24
45,22620,8652,M,-/-,19800,Body Weight,2019-07-01
45,22620,8652,M,-/-,1480,Total Fat Mass,2019-07-01
45,22620,8652,M,-/-,16920,Lean Mass,2019-07-01
52,22620,8652,M,-/-,21000,Body Weight,2019-07-08
52,22620,8652,M,-/-,1280,Total Fat Mass,2019-07-08
52,22620,8652,M,-/-,18100,Lean Mass,2019-07-08
59,22620,8652,M,-/-,22100,Body Weight,2019-07-15
59,22620,8652,M,-/-,920,Total Fat Mass,2019-07-15
59,22620,8652,M,-/-,18090,Lean Mass,2019-07-15
