age,animal.id,MouseID,Sex,Genotype,assay,experiment.date,Mass,Diet,age.weeks
24,22619,8651,M,-/-,Body Weight,2019-06-10,8.7,NA,3
24,22619,8651,M,-/-,Total Fat Mass,2019-06-10,0.62,NA,3
24,22619,8651,M,-/-,Lean Mass,2019-06-10,7.11,NA,3
24,22620,8652,M,-/-,Body Weight,2019-06-10,7.9,NA,3
24,22620,8652,M,-/-,Total Fat Mass,2019-06-10,0.7,NA,3
24,22620,8652,M,-/-,Lean Mass,2019-06-10,6.29,NA,3
24,22621,8653,M,-/-,Body Weight,2019-06-10,9.7,NA,3
24,22621,8653,M,-/-,Total Fat Mass,2019-06-10,1.03,NA,3
24,22621,8653,M,-/-,Lean Mass,2019-06-10,7.86,NA,3
24,22622,8654,F,+/+,Body Weight,2019-06-10,9,NA,3
24,22622,8654,F,+/+,Total Fat Mass,2019-06-10,0.62,NA,3
24,22622,8654,F,+/+,Lean Mass,2019-06-10,7.4,NA,3
24,22623,8655,F,-/-,Body Weight,2019-06-10,7.8,NA,3
24,22623,8655,F,-/-,Total Fat Mass,2019-06-10,0.65,NA,3
24,22623,8655,F,-/-,Lean Mass,2019-06-10,6.39,NA,3
24,22624,8656,F,-/-,Body Weight,2019-06-10,7.9,NA,3
24,22624,8656,F,-/-,Total Fat Mass,2019-06-10,0.68,NA,3
24,22624,8656,F,-/-,Lean Mass,2019-06-10,6.26,NA,3
24,22627,8659,F,-/-,Body Weight,2019-06-10,8.6,NA,3
24,22627,8659,F,-/-,Total Fat Mass,2019-06-10,0.62,NA,3
24,22627,8659,F,-/-,Lean Mass,2019-06-10,7.11,NA,3
23,22629,8661,M,-/-,Body Weight,2019-06-10,7.5,NA,3
23,22629,8661,M,-/-,Total Fat Mass,2019-06-10,0.39,NA,3
23,22629,8661,M,-/-,Lean Mass,2019-06-10,6.41,NA,3
23,22630,8662,M,-/-,Body Weight,2019-06-10,7.9,NA,3
23,22630,8662,M,-/-,Total Fat Mass,2019-06-10,0.42,NA,3
23,22630,8662,M,-/-,Lean Mass,2019-06-10,6.56,NA,3
31,22619,8651,M,-/-,Body Weight,2019-06-17,14.1,NA,4
31,22619,8651,M,-/-,Total Fat Mass,2019-06-17,2.1,NA,4
31,22619,8651,M,-/-,Lean Mass,2019-06-17,10.89,NA,4
31,22620,8652,M,-/-,Body Weight,2019-06-17,12.8,NA,4
31,22620,8652,M,-/-,Total Fat Mass,2019-06-17,1.64,NA,4
31,22620,8652,M,-/-,Lean Mass,2019-06-17,9.93,NA,4
31,22621,8653,M,-/-,Body Weight,2019-06-17,13.4,NA,4
31,22621,8653,M,-/-,Total Fat Mass,2019-06-17,1.23,NA,4
31,22621,8653,M,-/-,Lean Mass,2019-06-17,10.44,NA,4
31,22622,8654,F,+/+,Body Weight,2019-06-17,12.5,NA,4
31,22622,8654,F,+/+,Total Fat Mass,2019-06-17,0.82,NA,4
31,22622,8654,F,+/+,Lean Mass,2019-06-17,11.4,NA,4
31,22623,8655,F,-/-,Body Weight,2019-06-17,10.6,NA,4
31,22623,8655,F,-/-,Total Fat Mass,2019-06-17,1.35,NA,4
31,22623,8655,F,-/-,Lean Mass,2019-06-17,8.46,NA,4
31,22624,8656,F,-/-,Body Weight,2019-06-17,11.6,NA,4
31,22624,8656,F,-/-,Total Fat Mass,2019-06-17,2.17,NA,4
31,22624,8656,F,-/-,Lean Mass,2019-06-17,8.34,NA,4
31,22627,8659,F,-/-,Body Weight,2019-06-17,12.5,NA,4
31,22627,8659,F,-/-,Total Fat Mass,2019-06-17,1.68,NA,4
31,22627,8659,F,-/-,Lean Mass,2019-06-17,10.44,NA,4
30,22629,8661,M,-/-,Body Weight,2019-06-17,12.8,NA,4
30,22629,8661,M,-/-,Total Fat Mass,2019-06-17,1.18,NA,4
30,22629,8661,M,-/-,Lean Mass,2019-06-17,10.47,NA,4
30,22630,8662,M,-/-,Body Weight,2019-06-17,11.3,NA,4
30,22630,8662,M,-/-,Total Fat Mass,2019-06-17,0.75,NA,4
30,22630,8662,M,-/-,Lean Mass,2019-06-17,9.64,NA,4
38,22619,8651,M,-/-,Body Weight,2019-06-24,17.6,NA,5
38,22619,8651,M,-/-,Total Fat Mass,2019-06-24,1.09,NA,5
38,22619,8651,M,-/-,Lean Mass,2019-06-24,14.98,NA,5
38,22620,8652,M,-/-,Body Weight,2019-06-24,18.2,NA,5
38,22620,8652,M,-/-,Total Fat Mass,2019-06-24,1.28,NA,5
38,22620,8652,M,-/-,Lean Mass,2019-06-24,15.33,NA,5
38,22621,8653,M,-/-,Body Weight,2019-06-24,19,NA,5
38,22621,8653,M,-/-,Total Fat Mass,2019-06-24,1.77,NA,5
38,22621,8653,M,-/-,Lean Mass,2019-06-24,15.76,NA,5
38,22622,8654,F,+/+,Body Weight,2019-06-24,15.9,NA,5
38,22622,8654,F,+/+,Total Fat Mass,2019-06-24,1.49,NA,5
38,22622,8654,F,+/+,Lean Mass,2019-06-24,12.88,NA,5
38,22623,8655,F,-/-,Body Weight,2019-06-24,14.1,NA,5
38,22623,8655,F,-/-,Total Fat Mass,2019-06-24,1.69,NA,5
38,22623,8655,F,-/-,Lean Mass,2019-06-24,11.3,NA,5
38,22624,8656,F,-/-,Body Weight,2019-06-24,15.3,NA,5
