age,animal.id,MouseID,Sex,Genotype,assay,experiment.date,Mass,Diet,Injection,start.date,injection.days,diet.time,Mass.Change
75,22128,8148,M,fl/fl; +/+,Body Weight,2019-05-17,25.8,Control Diet,AAV-GFP,2019-05-17,0,-2,-1.3999999999999986
75,22128,8148,M,fl/fl; +/+,Lean Mass,2019-05-17,21.76,Control Diet,AAV-GFP,2019-05-17,0,-2,-0.7099999999999973
75,22129,8149,M,fl/fl; +/+,Body Weight,2019-05-17,23.6,Control Diet,AAV-GFP,2019-05-17,0,-2,-0.5999999999999979
75,22129,8149,M,fl/fl; +/+,Total Fat Mass,2019-05-17,2.16,Control Diet,AAV-GFP,2019-05-17,0,-2,0.31000000000000005
75,22129,8149,M,fl/fl; +/+,Lean Mass,2019-05-17,18.88,Control Diet,AAV-GFP,2019-05-17,0,-2,-1.240000000000002
75,22131,8151,F,fl/fl; +/+,Body Weight,2019-05-17,19.4,Ketogenic Diet,AAV-GFP,2019-05-17,0,-2,-1.7000000000000028
75,22131,8151,F,fl/fl; +/+,Total Fat Mass,2019-05-17,2.25,Ketogenic Diet,AAV-GFP,2019-05-17,0,-2,0.8400000000000001
75,22131,8151,F,fl/fl; +/+,Lean Mass,2019-05-17,15.12,Ketogenic Diet,AAV-GFP,2019-05-17,0,-2,-2.5999999999999996
75,22132,8152,F,fl/fl; +/+,Body Weight,2019-05-17,19.4,Ketogenic Diet,AAV-GFP,2019-05-17,0,-2,-2
75,22132,8152,F,fl/fl; +/+,Total Fat Mass,2019-05-17,2,Ketogenic Diet,AAV-GFP,2019-05-17,0,-2,-0.040000000000000036
75,22132,8152,F,fl/fl; +/+,Lean Mass,2019-05-17,15.24,Ketogenic Diet,AAV-GFP,2019-05-17,0,-2,-1.8600000000000012
75,22133,8153,F,fl/fl; +/+,Body Weight,2019-05-17,20.7,Ketogenic Diet,AAV-GFP,2019-05-17,0,-2,-1.1999999999999993
75,22133,8153,F,fl/fl; +/+,Total Fat Mass,2019-05-17,2.7,Ketogenic Diet,AAV-GFP,2019-05-17,0,-2,0.43000000000000016
75,22133,8153,F,fl/fl; +/+,Lean Mass,2019-05-17,15.29,Ketogenic Diet,AAV-GFP,2019-05-17,0,-2,-2.3000000000000007
75,22134,8154,F,fl/fl; +/+,Body Weight,2019-05-17,23.5,Ketogenic Diet,AAV-GFP,2019-05-17,0,-2,-1
75,22134,8154,F,fl/fl; +/+,Total Fat Mass,2019-05-17,2.97,Ketogenic Diet,AAV-GFP,2019-05-17,0,-2,0.0900000000000003
75,22134,8154,F,fl/fl; +/+,Lean Mass,2019-05-17,18.18,Ketogenic Diet,AAV-GFP,2019-05-17,0,-2,-1.3000000000000007
66,22164,8186,M,fl/fl; +/+,Body Weight,2019-05-17,19.9,Control Diet,AAV-Cre,2019-05-17,0,-2,-0.7000000000000028
66,22164,8186,M,fl/fl; +/+,Total Fat Mass,2019-05-17,1.49,Control Diet,AAV-Cre,2019-05-17,0,-2,0.06000000000000005
