Cage,Sex,DOB,Treatment,Diet,Number of Mice,Start of Diet,Feeder Label,
2133,M,2019-03-03,GFP,Control,2,6/11/19,C,
2134,F,2019-03-03,GFP,Keto,4,6/11/19,E,
2156,F,2019-03-03,CRE,Control,2,6/11/19,D,
2154,M,2019-03-12,GFP,Keto,3,6/11/19,I,1
2155,M,2019-03-12,CRE,Control,4,6/11/19,A,
2159,M,2019-03-15,GFP,Control,2,6/11/19,H,
2160,F,2019-03-15,CRE,Control,2,6/11/19,B,
2165,M,2019-03-22,CRE,Keto,2,6/11/19,G,
2166,F,2019-03-22,CRE,Keto,5,6/11/19,F,
2176,M,2019-03-29,CRE,Keto,3,6/25/19,J,
2177,F,2019-03-29,GFP,Control,3,6/25/19,K,
2237,M,2019-04-12,GFP,Control,1,7/9/19,A,
1979,M,2019-04-18,GFP,Keto,2,7/9/19,B,1
1980,F,2019-04-18,CRE,Control,3,7/9/19,C,
2920,M,2019-05-02,CRE,Control,4,7/23/19,D,
2921,F,2019-05-02,GFP,Control,3,7/23/19,E,
2922,F,2019-05-02,CRE,Control,4,7/23/19,F,
7886,M,2019-05-22,GFP,Control,5,8/13/19,,
7883,F,2019-05-22,CRE,Keto,3,8/13/19,,
7882,M,2019-05-19,CRE,Keto,5,8/13/19,,
7889,F,2019-05-25,GFP,Control,3,8/20/19,,
7890,M,2019-05-25,CRE,Control,3,8/20/19,,
7906,M,2019-05-30,GFP,Keto,4,8/20/19,,1
7907,F,2019-05-30,GFP,Keto,3,8/20/19,,
7895,M,2019-05-29,CRE,Keto,4,8/20/19,,
7894,F,2019-05-29,GFP,Control,3,8/20/19,,
