cage,number in cage,diet,date (start to end),food initial (g),food final (g),intake (total g),intake (total kcal),intake (kcal per day),intake (kcal per hour),discard,notes
2133,,Chow,5/21/19-5/28/19,417.6,365.6,52,151.32,75.66,1.609787234,,KDC Kcal/g =3.8
2134,,Chow,5/21/19-5/28/19,402.4,343.7,58.7,170.817,85.4085,1.817202128,,KD Kcal/g = 6.4
2156,,Chow,5/21/19-5/28/19,402,362.4,39.6,115.236,57.618,1.225914894,,Chow Kcal/g = 2.91 
2154,,Chow,5/21/19-5/28/19,402.4,347.2,55.2,160.632,80.316,1.708851064,,
2155,,Chow,5/21/19-5/28/19,403.2,343.9,59.3,172.563,86.2815,1.835776596,,
2159,,Chow,5/21/19-5/28/19,404,365.4,38.6,112.326,56.163,1.194957447,,
2160,,Chow,5/21/19-5/28/19,402.4,365.2,37.2,108.252,54.126,1.151617021,,
2165,,Chow,5/21/19-5/28/19,415,366,49,142.59,71.295,1.516914894,,
2166,,Chow,5/21/19-5/28/19,401.7,331.4,70.3,204.573,102.2865,2.176308511,,
2133,,Chow,5/28/19-06/04/19,365.6,379.7,-14.1,,,,,
2134,,Chow,5/28/19-06/04/19,404.2,350.7,53.5,,,,,
2156,,Chow,5/28/19-06/04/19,403.4,379.4,24.0,,,,,
2154,,Chow,5/28/19-06/04/19,401.0,338.2,62.8,,,,,
2155,,Chow,5/28/19-06/04/19,402.0,338.2,63.8,,,,,
2159,,Chow,5/28/19-06/04/19,402.2,365.0,37.2,,,,,
2160,,Chow,5/28/19-06/04/19,402.2,354.4,47.8,,,,,unsure if there was a do not feed acetate on the cage or if first number was written down wrong? 
2165,,Chow,5/28/19-06/04/19,366.0,357.8,8.2,,,,,
2166,,Chow,5/28/19-06/04/19,403.0,338.0,65.0,,,,,
2133,,Control,6/4/19-6/6/19,210.7,200.3,10.4,39.5,19.8,0.8,,red=dead
2134,,Keto,6/4/19-6/6/19,268.6,255.7,12.9,82.6,41.3,1.8,,
2156,,Control,6/4/19-6/6/19,213.0,203.4,9.6,36.5,18.2,0.8,,
2154,,Keto,6/4/19-6/6/19,269.6,259.1,10.5,67.2,33.6,1.4,,
2155,,Control,6/4/19-6/6/19,203.7,183.4,20.3,77.1,38.6,1.6,,
2159,,Control,6/4/19-6/6/19,219.7,207.6,12.1,46.0,23.0,1.0,,
2160,,Control,6/4/19-6/6/19,204.1,192.9,11.2,42.6,21.3,0.9,,
2165,,Keto,6/4/19-6/6/19,263.3,255.7,7.6,48.6,24.3,1.0,,
2166,,Keto,6/4/19-6/6/19,254.4,238.9,15.5,99.2,49.6,2.1,,
2176,,Chow,6/7/19-6/14,330.4,251.2,79.2,230.5,32.9,1.4,,
2177,,Chow,6/7/19-6/14,313.7,250.0,63.7,185.4,26.5,1.1,,
2133,,Control,6/6/19-6/7/19,210.8,205.3,5.5,20.9,10.5,0.4,,
2134,,Keto,6/6/19-6/7/19,268.8,262.7,6.1,39.0,19.5,0.8,,
2156,,Control,6/6/19-6/7/19,213.2,208.0,5.2,19.8,9.9,0.4,,
2154,,Keto,6/6/19-6/7/19,268.4,263.2,5.2,33.3,16.6,0.7,,
2155,,Control,6/6/19-6/7/19,205.4,194.9,10.5,39.9,20.0,0.8,,
2159,,Control,6/6/19-6/7/19,216.9,210.2,6.7,25.5,12.7,0.5,,
2160,,Control,6/6/19-6/7/19,202.6,197.4,5.2,19.8,9.9,0.4,,
2165,,Keto,6/6/19-6/7/19,262.1,258.5,3.6,23.0,11.5,0.5,,
2166,,Keto,6/6/19-6/7/19,258.4,250.7,7.7,49.3,24.6,1.0,,
2133,,Control,6/7/19-6/10/19,214.3,198.0,16.3,61.9,20.6,0.9,,
2134,,Keto,6/7/19-6/10/19,271.5,254.8,16.7,106.9,35.6,1.5,,
2156,,Control,6/7/19-6/10/19,214.2,199.9,14.3,54.3,18.1,0.8,,
2154,,Keto,6/7/19-6/10/19,276.2,262.4,13.8,88.3,29.4,1.3,,
2155,,Control,6/7/19-6/10/19,209.1,177.2,31.9,121.2,40.4,1.7,,
2159,,Control,6/7/19-6/10/19,219.3,200.1,19.2,73.0,24.3,1.0,,
2160,,Control,6/7/19-6/10/19,207.0,190.6,16.4,62.3,20.8,0.9,,
2165,,Keto,6/7/19-6/10/19,266.4,257.2,9.2,58.9,19.6,0.8,,
2166,,Keto,6/7/19-6/10/19,264.5,244.4,20.1,128.6,42.9,1.8,,
2133,,Control,6/10/19-6/12/19,215.6,202.6,13.0,49.4,24.7,1.0,,
2134,,Keto,6/10/19-6/12/19,272.7,262.2,10.5,67.2,33.6,1.4,,
2154,,Keto,6/10/19-6/12/19,274.8,265.7,9.1,58.2,29.1,1.2,,
2155,,Control,6/10/19-6/12/19,221.1,199.2,21.9,83.2,41.6,1.7,,
2159,2,Control,6/10/19-6/12/19,226.2,216.5,9.7,36.9,18.4,0.8,,These two measurements may not be accurate becuase both cages had one mouse die on 6/11. Food was not measured on 6/11
2160,2,Control,6/10/19-6/12/19,223.2,211.8,11.4,43.3,21.7,0.9,,
2165,,Keto,6/10/19-6/14/19,268.0,253.9,14.1,90.2,22.6,0.9,,
2166,,Keto,6/10/19-6/12/19,266.1,251.8,14.3,91.5,45.8,1.9,,
2133,,Control,6/12/19-6/14/19,212.8,198.9,13.9,52.8,26.4,1.1,,
2134,,Keto,6/12/19-6/14/19,274.6,263.4,11.2,71.7,35.8,1.5,,
2154,,Keto,6/12/19-6/14/19,273.0,264.6,8.4,53.8,26.9,1.1,,
2155,,Control,6/12/19-6/14/19,216.2,195.2,21.0,79.8,39.9,1.7,,
2159,1,Control,6/12/19-6/14/19,223.3,213.0,10.3,39.1,19.6,0.8,,
2160,1,Control,6/12/19-6/14/19,220.0,212.4,7.6,28.9,14.4,0.6,,
2166,,Keto,6/12/19-6/14/19,266.8,253.5,13.3,85.1,42.6,1.8,,
2176,,,6/14/19-6/18/19,386.6,348.0,38.6,112.3,16.0,0.7,,
2177,,Chow,6/14/19-6/18/19,396.7,360.8,35.9,104.5,14.9,0.6,,
2176,,Keto,6/18/19-6/21/19,269.1,253.4,15.7,,,,,
2177,,Control,6/18/19-6/21/19,209.6,196.4,13.2,,,,,
2133,,Control,6/14/19-6/17/19,218.0,199.5,18.5,70.3,23.4,1.0,,
2134,,Keto,6/14/19-6/17/19,275.0,258.6,16.4,105.0,35.0,1.5,,
2154,,Keto,6/14/19-6/17/19,274.6,262.6,12.0,76.8,25.6,1.1,,
2155,,Control,6/14/19-6/17/19,221.7,189.0,32.7,124.3,41.4,1.7,,
2159,1,Control,6/14/19-6/17/19,221.3,206.7,14.6,55.5,18.5,0.8,,
2160,1,Control,6/14/19-6/17/19,219.0,200.6,18.4,69.9,23.3,1.0,,
2165,,Keto,6/14/19-6/17/19,267.2,258.2,9.0,57.6,19.2,0.8,,
2166,,Keto,6/14/19-6/17/19,265.6,245.6,20.0,128.0,42.7,1.8,,
2133,,Control,6/17/19-6/19/19,216.9,205.5,11.4,,,,,
2134,,Keto,6/17/19-6/19/19,274.7,263.5,11.2,,,,,
2154,,Keto,6/17/19-6/19/19,272.4,263.4,9.0,,,,,
2155,,Control,6/17/19-6/19/19,216.4,195.2,21.2,,,,,
2159,1,Control,6/17/19-6/19/19,219.4,211.1,8.3,,,,,
2160,1,Control,6/17/19-6/19/19,217.2,210.9,6.3,,,,,
2165,,Keto,6/17/19-6/19/19,264.4,256.9,7.5,,,,,
2166,,Keto,6/17/19-6/19/19,267,253.9,13.1,,,,,
