"","age","animal.id","MouseID","Sex","Genotype","assay","experiment.date","Mass","Diet","Injection","start.date","injection.days","diet.time","Mass.Change"
"1",75,22128,"8148","M","fl/fl; +/+","Body Weight",2019-05-17,25.8,"Control Diet","AAV-GFP",2019-05-17,0,-2,-1.4
"2",75,22128,"8148","M","fl/fl; +/+","Total Fat Mass",2019-05-17,1.89,"Control Diet","AAV-GFP",2019-05-17,0,-2,-0.13
"3",75,22128,"8148","M","fl/fl; +/+","Lean Mass",2019-05-17,21.76,"Control Diet","AAV-GFP",2019-05-17,0,-2,-0.709999999999997
"4",75,22129,"8149","M","fl/fl; +/+","Body Weight",2019-05-17,23.6,"Control Diet","AAV-GFP",2019-05-17,0,-2,-0.599999999999998
"5",75,22129,"8149","M","fl/fl; +/+","Total Fat Mass",2019-05-17,2.16,"Control Diet","AAV-GFP",2019-05-17,0,-2,0.31
"6",75,22129,"8149","M","fl/fl; +/+","Lean Mass",2019-05-17,18.88,"Control Diet","AAV-GFP",2019-05-17,0,-2,-1.24
"7",75,22131,"8151","F","fl/fl; +/+","Body Weight",2019-05-17,19.4,"Ketogenic Diet","AAV-GFP",2019-05-17,0,-2,-1.7
"8",75,22131,"8151","F","fl/fl; +/+","Total Fat Mass",2019-05-17,2.25,"Ketogenic Diet","AAV-GFP",2019-05-17,0,-2,0.84
"9",75,22131,"8151","F","fl/fl; +/+","Lean Mass",2019-05-17,15.12,"Ketogenic Diet","AAV-GFP",2019-05-17,0,-2,-2.6
"10",75,22132,"8152","F","fl/fl; +/+","Body Weight",2019-05-17,19.4,"Ketogenic Diet","AAV-GFP",2019-05-17,0,-2,-2
"11",75,22132,"8152","F","fl/fl; +/+","Total Fat Mass",2019-05-17,2,"Ketogenic Diet","AAV-GFP",2019-05-17,0,-2,-0.04
"12",75,22132,"8152","F","fl/fl; +/+","Lean Mass",2019-05-17,15.24,"Ketogenic Diet","AAV-GFP",2019-05-17,0,-2,-1.86
"13",75,22133,"8153","F","fl/fl; +/+","Body Weight",2019-05-17,20.7,"Ketogenic Diet","AAV-GFP",2019-05-17,0,-2,-1.2
"14",75,22133,"8153","F","fl/fl; +/+","Total Fat Mass",2019-05-17,2.7,"Ketogenic Diet","AAV-GFP",2019-05-17,0,-2,0.43
"15",75,22133,"8153","F","fl/fl; +/+","Lean Mass",2019-05-17,15.29,"Ketogenic Diet","AAV-GFP",2019-05-17,0,-2,-2.3
"16",75,22134,"8154","F","fl/fl; +/+","Body Weight",2019-05-17,23.5,"Ketogenic Diet","AAV-GFP",2019-05-17,0,-2,-1
"17",75,22134,"8154","F","fl/fl; +/+","Total Fat Mass",2019-05-17,2.97,"Ketogenic Diet","AAV-GFP",2019-05-17,0,-2,0.0900000000000003
"18",75,22134,"8154","F","fl/fl; +/+","Lean Mass",2019-05-17,18.18,"Ketogenic Diet","AAV-GFP",2019-05-17,0,-2,-1.3
"19",66,22164,"8186","M","fl/fl; +/+","Body Weight",2019-05-17,19.9,"Control Diet","AAV-Cre",2019-05-17,0,-2,-0.700000000000003
"20",66,22164,"8186","M","fl/fl; +/+","Total Fat Mass",2019-05-17,1.49,"Control Diet","AAV-Cre",2019-05-17,0,-2,0.0600000000000001
"21",66,22164,"8186","M","fl/fl; +/+","Lean Mass",2019-05-17,16.11,"Control Diet","AAV-Cre",2019-05-17,0,-2,-1.04
"22",66,22165,"8187","M","fl/fl; +/+","Body Weight",2019-05-17,25.2,"Ketogenic Diet","AAV-GFP",2019-05-17,0,-2,-0.699999999999999
"23",66,22165,"8187","M","fl/fl; +/+","Total Fat Mass",2019-05-17,2.01,"Ketogenic Diet","AAV-GFP",2019-05-17,0,-2,-0.0600000000000001
"24",66,22165,"8187","M","fl/fl; +/+","Lean Mass",2019-05-17,20.48,"Ketogenic Diet","AAV-GFP",2019-05-17,0,-2,-0.989999999999998
