,Mouse,Sex,Genotype,Feeding State,Diet,Volume,Dilution,Well,Raw,"Background
 Corrected",Conc.
A2,[837] 0,M,+/+;+/+,fast,NCD,0,1,A2,0.078,0.007,2.17
A3,794,M,+/+;+/+,fast,NCD,15,1,A3,0.235,0.164,24.32
A4,4626,M,fl/fl;tg/+,fed,HFD,15,1,A4,2.02,1.95,342.8
A5,4628,M,fl/fl;tg/+,fast,HFD,15,1,A5,2.29,2.22,399.7
A6,4668,M ,fl/fl;tg/+,fast,HFD,15,1,A6,3.53,3.46,702.4
A7,4150,F,fl/fl;tg/+,fast,HFD,15,1,A7,2.66,2.58,481.8
A8,4662,F,fl/fl;tg/+,fed,HFD,15,1,A8,2.52,2.45,450.1
A9,4762,F,fl/fl;tg/+,fast,HFD,15,1,A9,1.39,1.32,217.4
A10,4373,F,fl/fl;tg/+,fed,HFD,15,1,A10,2.89,2.82,538.4
A11,4762,F,fl/fl;tg/+,fed,HFD,15,1,A11,1.07,1,160
A12,4394,F,fl/fl;tg/+,fast,HFD,15,1,A12,2.84,2.77,525.3
B2,778,M,fl/fl;+/+,fast,NCD,15,1,B2,0.262,0.191,28.3
B3,811,M,+/+;+/+,fast,NCD,15,1,B3,0.226,0.155,23.01
B4,4626,M,fl/fl;tg/+,fast,HFD,15,1,B4,2.15,2.08,368.7
B5,4361,M,+/+;tg/+,fast,HFD,15,1,B5,0.269,0.198,29.34
B6,4673,F,fl/fl;tg/+,fed,HFD,15,1,B6,1.86,1.79,309.7
B7,4317,F,fl/fl;tg/+,fast,HFD,15,1,B7,1.52,1.45,241.7
B8,4212,F,fl/fl;+/+,fast,HFD,15,1,B8,0.284,0.213,31.57
B9,4203,F,fl/fl;tg/+,fast,HFD,15,1,B9,2.66,2.59,482
B10,4394,F,fl/fl;tg/+,fed,HFD,15,1,B10,2.54,2.47,456
B11,4102,F,fl/fl;tg/+,fast,HFD,15,1,B11,1.86,1.79,308.3
B12,4662,F,fl/fl;tg/+,fast,HFD,15,1,B12,3.41,3.34,670.3
C2,784,M,+/+;tg/+,fast,NCD,15,1,C2,0.431,0.36,53.91
C3,[868] 0,M,+/+;+/+,fast,NCD,0,1,C3,0.071,0,1.257
C4,4621,F,fl/fl;tg/+,fast,HFD,15,1,C4,2.44,2.37,432.5
C5,4215,M,fl/fl;tg/+,fast,HFD,15,1,C5,2.26,2.19,393.9
C6,4637,F,fl/fl;tg/+,fed,HFD,15,1,C6,2.27,2.2,394.7
C7,4317,F,fl/fl;tg/+,fed,HFD,15,1,C7,1.15,1.08,173.3
C8,4217,F,fl/fl;tg/+,fast,HFD,15,1,C8,1.43,1.36,224.9
C9,4202,F,fl/fl;tg/+,fed,HFD,15,1,C9,2.69,2.62,490.2
C10,4392,F,fl/fl;tg/+,fed,HFD,15,1,C10,1.93,1.86,322.8
C11,4629,M,fl/fl;tg/+,fed,HFD,15,1,C11,1.72,1.65,281.5
C12,816,M,+/+;tg/+,fast,HFD,13,1.25,C12,0.169,0.098,18.46
