cage,ear.tag,genotype,sex,DOB,feeder label,diet,date,food initial (g),food final (g),intake (total g),intake (total kcal),intake (kcal per day),intake (kcal per hour),discard
1481,7425,fl/fl;tg/+,M,11/25/2018,A,KD,2/4 - 2/8,219.7,216.6,3.1,19.84,,,Y
1481,7425,fl/fl;tg/+,M,11/25/2018,B,KDC,2/4 - 2/8,160.7,,,0.00,,,Y
1482,7426,fl/fl;tg/+,M,11/25/2018,C,KD,2/4 - 2/8,217.1,214.4,2.7,17.28,4.32,0.180,
1482,7426,fl/fl;tg/+,M,11/25/2018,D,KDC,2/4 - 2/8,165.2,157.7,7.5,28.50,7.13,0.297,
9754,7427,fl/fl;tg/+,M,11/25/2018,E,KD,2/4 - 2/8,216.4,207.3,9.1,58.24,14.56,0.607,
9754,7427,fl/fl;tg/+,M,11/25/2018,F,KDC,2/4 - 2/8,163.4,161.9,1.5,5.70,1.43,0.059,
9755,7428,fl/fl;+/+,F,11/25/2018,G,KD,2/4 - 2/8,225.3,218.7,6.6,42.24,10.56,0.440,
9755,7428,fl/fl;+/+,F,11/25/2018,H,KDC,2/4 - 2/8,170.0,169.4,0.6,2.28,0.57,0.024,
1484,7429,fl/fl;+/+,F,11/25/2018,I,KD,2/4 - 2/8,212.8,205.2,7.6,48.64,12.16,0.507,
1484,7429,fl/fl;+/+,F,11/25/2018,J,KDC,2/4 - 2/8,169.5,169,0.5,1.90,0.48,0.020,
1483,7431,fl/fl;+/+,F,11/25/2018,K,KD,2/4 - 2/8,225.3,220.5,4.8,30.72,7.68,0.320,
1483,7431,fl/fl;+/+,F,11/25/2018,L,KDC,2/4 - 2/8,168.3,164.7,3.6,13.68,3.42,0.143,
9756,7430,fl/fl;tg/+,F,11/25/2018,M,KD,2/4 - 2/8,214.8,,,0.00,,,Y
9756,7430,fl/fl;tg/+,F,11/25/2018,N,KDC,2/4 - 2/8,162.1,,,0.00,,,Y
9763,7455,fl/fl;tg/+,M,12/1/2018,A,KD,2/11-2/12,200.3,200.2,0.1,0.64,0.64,,
