Phenotype ID: 17559
Phenotype URL: http://genenetwork.org/show_trait?trait_id=17559&dataset=BXDPublish
Group: BXD
"Phenotype: Metabolism"","" morphology: Body weight at 16 weeks"","" chow diet (6% kCal/fat Harlan.2918)"","" males [g] (EPFL LISP3 Cohort)"
"Authors: Wu Y, Williams EG, Dubuis S, Mottis A, Jovaisaite V, Houten SM, Argmann CA, Faridi P, Wolski W, Kutalik Z, Zamboni N, Auwerx J, Aebersold R"
Title: Multilayered genetic and omics dissection of mitochondrial activity in a mouse reference population
Journal: Cell
Dataset Link: http://gn1.genenetwork.org/webqtl/main.py?FormID=sharinginfo&InfoPageName=BXDPublish

Name,Value,SE,N
C57BL/6J,28.084,0.642,5
DBA/2J,30.146,0.805,5
BXD1,27.9,0.84,5
BXD2,35.188,1.217,4
BXD6,31.8,1.163,5
BXD11,29.587,2.444,5
BXD12,28.662,0.354,5
BXD16,46.832,1.798,5
BXD27,40.076,0.773,5
BXD32,32.2,1.18,5
BXD34,33.857,0.508,4
BXD39,41.47,1.093,5
BXD40,27.97,0.73,4
BXD43,30.75,2.2,4
BXD44,33.954,1.943,5
BXD45,30.266,0.551,5
BXD48,35.24,1.44,5
BXD48a,38.216,1.754,5
BXD49,36.64,0.66,4
BXD50,33.89,2.24,4
BXD51,31.828,0.966,5
BXD53,31.784,1.258,5
BXD55,29.828,0.738,5
BXD56,32.22,0.64,5
BXD60,34.48,1.06,4
BXD61,32.8,0.234,3
BXD62,29.72,0.76,4
BXD63,33.21,1.15,5
BXD64,33.12,0.84,4
BXD65,40.07,1.52,4
BXD65a,41.87,0.23,5
BXD65b,41.62,0.5,4
BXD66,38,2.9,5
BXD67,33.58,2.52,5
BXD68,37.06,2.52,5
BXD69,38.91,0.78,5
BXD70,30.08,3.652,4
BXD71,38.59,1.1,5
BXD73,32.37,1.75,5
BXD73a,40.9,0.8,5
BXD73b,40.97,1.04,5
BXD75,35.264,1.068,5
BXD77,31.86,1,5
BXD79,35.67,0.66,5
BXD81,25.39,2.12,4
BXD83,25.32,1.2,3
BXD84,28.92,2.38,4
BXD85,45.28,1.31,5
BXD87,25.556,0.583,5
BXD89,32.23,0.76,4
BXD90,28.04,0.95,4
BXD95,33.91,2.32,4
BXD98,32.53,0.95,5
BXD99,35.5,0.78,5
BXD100,36.17,5.636,3
BXD101,28.57,0.9,5
