Phenotype ID: 17560
Phenotype URL: http://genenetwork.org/show_trait?trait_id=17560&dataset=BXDPublish
Group: BXD
"Phenotype: Metabolism"","" morphology: Body weight at 16 weeks"","" high fat diet (60% kCal/fat HarlanTD.06414)"","" males [g] (EPFL LISP3 Cohort)"
"Authors: Wu Y, Williams EG, Dubuis S, Mottis A, Jovaisaite V, Houten SM, Argmann CA, Faridi P, Wolski W, Kutalik Z, Zamboni N, Auwerx J, Aebersold R"
Title: Multilayered genetic and omics dissection of mitochondrial activity in a mouse reference population
Journal: Cell
Dataset Link: http://gn1.genenetwork.org/webqtl/main.py?FormID=sharinginfo&InfoPageName=BXDPublish

Name,Value,SE,N
C57BL/6J,31.196,1.02,5
DBA/2J,39.914,0.932,5
BXD1,35.998,1.466,5
BXD2,42.042,2.475,5
BXD6,40.98,1.585,5
BXD16,52.434,1.561,5
BXD27,47.303,0.946,4
BXD32,45.12,1.84,4
BXD34,33.446,2.09,5
BXD39,45.4,0.36,5
BXD40,27.67,0.73,4
BXD43,36.21,2.13,4
BXD44,50.36,0.773,5
BXD45,34.886,1.391,5
BXD48,47.32,2.12,5
BXD48a,50.3,1.4,4
BXD49,44.17,1.46,4
BXD50,43.818,1.177,5
BXD51,51.228,2.767,4
BXD53,43.148,1.465,5
BXD55,32.964,0.67,5
BXD56,39.22,0.8,4
BXD60,55.4,0.88,5
BXD61,45.514,0.95,5
BXD62,38.75,0.67,4
BXD63,46.45,1.34,4
BXD64,43.42,2.07,4
BXD65,51.28,1.41,4
BXD65a,47.81,1.5,4
BXD66,42.84,1.2,5
BXD67,43.77,1.845,5
BXD68,36.11,2.33,5
BXD69,40.88,0.44,5
BXD70,39.57,2.641,4
BXD71,49,1.74,5
BXD73,41.648,1.864,5
BXD73a,42.186,1.327,5
BXD73b,45.62,1.04,5
BXD75,43.002,0.943,5
BXD77,41.78,2.24,5
BXD79,40.64,1.1,5
BXD81,43.85,0.92,4
BXD83,33.71,1.9,4
BXD84,45.28,1.5,4
BXD85,49.82,0.76,4
BXD87,31.886,0.697,5
BXD89,40.78,1.12,4
BXD90,45.13,1.33,4
BXD95,45.856,1.556,5
BXD98,45.55,1.08,5
BXD99,43.82,0.84,5
BXD100,45.32,2.476,5
BXD101,43.82,0.923,5
