Phenotype ID: 17573
Phenotype URL: http://genenetwork.org/show_trait?trait_id=17573&dataset=BXDPublish
Group: BXD
"Phenotype: Metabolism"","" morphology: Lean mass during metabolic cage experiment"","" chow diet (6% kCal/fat Harlan.2918)"","" males [g] (EPFL LISP3 Cohort)"
"Authors: Williams EG, Wu Y, Jha P, Dubuis S, Blattmann P, Argmann CA, Houten SM, Amariuta T, Wolski W, Zamboni N, Aebersold R, Auwerx J"
Title: Systems proteomics of liver mitochondria function
Journal: Science
Dataset Link: http://gn1.genenetwork.org/webqtl/main.py?FormID=sharinginfo&InfoPageName=BXDPublish

Name,Value,SE,N
C57BL/6J,25.208,0.471,4
DBA/2J,22.062,0.46,4
BXD1,23.566,0.35,5
BXD2,26.027,0.326,4
BXD6,26.795,0.378,5
BXD11,23.56,1.02,4
BXD16,30.07,0.896,5
BXD32,25.47,0.4,5
BXD34,25.9,0.396,3
BXD39,25.702,0.73,5
BXD40,22.13,0.6,4
BXD43,23.801,0.93,4
BXD44,21.893,0.514,5
BXD45,26.392,0.707,4
BXD48,26.086,0.21,4
BXD48a,28.807,0.736,5
BXD49,30.73,0.393,4
BXD50,25.6,1.04,5
BXD51,24.473,0.332,4
BXD53,27.803,0.582,5
BXD55,24.887,0.44,5
BXD56,25.7,0.29,5
BXD60,26.67,0.686,5
BXD61,25.726,0.924,3
BXD62,25.36,0.33,4
BXD63,24,0.417,5
BXD64,24.36,0.41,4
BXD65,27.17,1.47,4
BXD65a,29.675,0.615,5
BXD65b,28.53,0.58,4
BXD66,27.145,0.785,5
BXD67,24.652,0.673,5
BXD68,26.1,0.96,5
BXD69,23.59,0.322,4
BXD70,23.492,1.411,4
BXD71,25.93,0.61,5
BXD73,26.976,0.444,4
BXD73a,26.5,0.727,5
BXD73b,26.42,0.266,5
BXD75,26.5,0.73,5
BXD77,25.122,0.63,5
BXD79,23.95,0.394,5
BXD81,19.698,0.81,4
BXD83,22.06,0.447,3
BXD84,25.64,0.8,5
BXD85,29.215,0.876,5
BXD87,21.81,0.359,5
BXD89,24.36,0.41,4
BXD90,23.59,0.55,4
BXD95,25.3,1.2,4
BXD98,23.3,0.28,5
BXD99,24.75,0.235,5
BXD100,26.061,1.744,3
BXD101,22.69,0.348,4
