Phenotype ID: 17574
Phenotype URL: http://genenetwork.org/show_trait?trait_id=17574&dataset=BXDPublish
Group: BXD
"Phenotype: Metabolism"","" morphology: Lean mass during metabolic cage experiment"","" high fat diet (60% kCal/fat HarlanTD.06414)"","" males [g] (EPFL LISP3 Cohort)"
"Authors: Williams EG, Wu Y, Jha P, Dubuis S, Blattmann P, Argmann CA, Houten SM, Amariuta T, Wolski W, Zamboni N, Aebersold R, Auwerx J"
Title: Systems proteomics of liver mitochondria function
Journal: Science
Dataset Link: http://gn1.genenetwork.org/webqtl/main.py?FormID=sharinginfo&InfoPageName=BXDPublish

Name,Value,SE,N
C57BL/6J,24.337,0.619,4
DBA/2J,24.794,0.724,4
BXD1,23.83,0.341,5
BXD2,26.804,1.28,5
BXD16,30.183,0.913,5
BXD27,25.956,0.689,4
BXD32,28.819,0.958,4
BXD34,25.005,0.452,5
BXD39,26.482,0.229,5
BXD40,19.99,0.63,4
BXD43,25.52,1.11,4
BXD44,23.231,0.591,5
BXD45,24.58,0.23,4
BXD48,26.34,0.395,4
BXD48a,28.217,0.69,4
BXD49,30.023,0.325,4
BXD51,25.288,0.736,4
BXD53,30.144,0.45,5
BXD55,26.132,0.33,5
BXD56,27.46,0.59,4
BXD60,28.68,0.94,5
BXD61,28.994,0.335,5
BXD62,25.778,0.67,4
BXD63,24.8,0.506,4
BXD64,24.83,0.61,4
BXD65,27.3,0.87,4
BXD65a,28.63,0.68,4
BXD66,23.744,0.58,5
BXD67,24.097,0.539,5
BXD68,24.228,0.826,4
BXD69,22.54,0.15,5
BXD70,26.912,1.791,4
BXD71,29.07,0.36,4
BXD73,25.949,0.652,5
BXD73a,25.472,0.341,5
BXD73b,26.478,0.6,5
BXD75,25.073,0.227,5
BXD77,24.73,0.99,5
BXD79,26.06,0.56,5
BXD81,24.14,0.44,4
BXD83,22.49,0.84,4
BXD84,26.86,0.38,4
BXD85,29.55,0.36,4
BXD87,22.411,0.462,5
BXD89,25.9,0.77,4
BXD90,24.58,0.708,4
BXD95,26.869,0.692,5
BXD98,26.9,0.197,5
BXD99,25.94,0.43,5
BXD100,28.74,0.983,5
BXD101,25.73,0.455,4
