Phenotype ID: 17618
Phenotype URL: http://genenetwork.org/show_trait?trait_id=17618&dataset=BXDPublish
Group: BXD
"Phenotype: Respiratory system"","" metabolism: Oxygen intake (VO2) light phase (day) average at 16 weeks of age"","" metabolic cage"","" high fat diet (60% kCal/fat HarlanTD.06414)"","" males [mL/kg/h] (EPFL LISP3 Cohort)"
"Authors: Williams EG, Wu Y, Jha P, Dubuis S, Blattmann P, Argmann CA, Houten SM, Amariuta T, Wolski W, Zamboni N, Aebersold R, Auwerx J"
Title: Systems proteomics of liver mitochondria function
Journal: Science
Dataset Link: http://gn1.genenetwork.org/webqtl/main.py?FormID=sharinginfo&InfoPageName=BXDPublish

Name,Value,SE,N
C57BL/6J,2936,102,4
DBA/2J,2565,76,4
BXD1,2432,149.9,5
BXD40,2837,170,4
BXD43,2649,86,3
BXD44,2010,96.151,5
BXD45,2914,82,4
BXD48,1716,43,4
BXD48a,2274,92,4
BXD49,1887,89,4
BXD50,2452,107,5
BXD51,2287,62,4
BXD53,2510,321,5
BXD55,3871,109.567,5
BXD56,2760,131,4
BXD60,1806,48,5
BXD61,2129,55.902,5
BXD62,2309,66,4
BXD63,2312,73,4
BXD64,2490,131,4
BXD65,2353,57,4
BXD65a,2604,61,4
BXD66,2208,89.443,5
BXD68,3208,155,4
BXD69,2593,59,5
BXD70,3253,60.2,4
BXD71,2545,72,4
BXD73,2748,127.456,5
BXD73a,2718,122.984,5
BXD73b,2395,146,4
BXD75,2474,109.567,5
BXD79,2834,62,5
BXD81,2422,111,4
BXD83,2996,152,4
BXD84,2271,55,4
BXD85,2435,55,4
BXD87,3011,110,4
BXD89,2646,83,4
BXD90,2282,19,4
BXD95,2674,108,5
BXD98,2173,99,5
BXD99,2544,80,5
BXD100,2709,80.498,5
BXD101,2498,69,4
