Phenotype ID: 17622
Phenotype URL: http://genenetwork.org/show_trait?trait_id=17622&dataset=BXDPublish
Group: BXD
"Phenotype: Respiratory system"","" metabolism: Oxygen intake (VO2) over 24 hours at 16 weeks of age"","" metabolic cage"","" high fat diet (60% kCal/fat HarlanTD.06414)"","" males [mL/kg/h] (EPFL LISP3 Cohort)"
"Authors: Williams EG, Wu Y, Jha P, Dubuis S, Blattmann P, Argmann CA, Houten SM, Amariuta T, Wolski W, Zamboni N, Aebersold R, Auwerx J"
Title: Systems proteomics of liver mitochondria function
Journal: Science
Dataset Link: http://gn1.genenetwork.org/webqtl/main.py?FormID=sharinginfo&InfoPageName=BXDPublish

Name,Value,SE,N
C57BL/6J,3246,116,4
DBA/2J,2845,98,4
BXD1,2584,162,5
BXD40,3291,155,4
BXD43,2971,70,3
BXD44,2155,78.262,5
BXD45,3280,122,4
BXD48,1832,43,4
BXD48a,2405,78,4
BXD49,2089,70,4
BXD50,2856,101,5
BXD51,2533,88,4
BXD53,2801,348,5
BXD55,4268,149.817,5
BXD56,3118,166,4
BXD60,1967,46,5
BXD61,2401,100.623,5
BXD62,2491,68,4
BXD63,2566,64,4
BXD64,2728,110,4
BXD65,2581,49,4
BXD65a,2860,84,4
BXD66,2476,100.623,5
BXD68,3445,157,4
BXD69,2840,78,5
BXD70,3462,106,4
BXD71,2817,103,4
BXD73,3142,145.344,5
BXD73a,3179,169.941,5
BXD73b,2642,165,4
BXD75,2681,96.151,5
BXD79,3116,88,5
BXD81,2574,125,4
BXD83,3393,152,4
BXD84,2502,54,4
BXD85,2418,76,4
BXD87,3374,128,4
BXD89,2910,77,4
BXD90,2502,52,4
BXD95,2862,97,5
BXD98,2417,93,5
BXD99,2664,77,5
BXD100,2983,114.039,5
BXD101,2784,65,4
