Phenotype ID: 18441
Phenotype URL: http://genenetwork.org/show_trait?trait_id=18441&dataset=BXDPublish
Group: BXD
"Phenotype: Aging"","" metabolism: Mean life span"","" longevity of females on standard chow diet (Harlan Teklad 7912 chow diet"","" 18% fat) at UTHSC on a 12 hr light cycle in polypropylene cages (145 in2) with up to 10 animals/cage"","" Harlan Teklad 7087 soft cob bedding (updated Dec 2021 at n deaths = 856) [days]"
"Authors: Roy S, Ingels J, Bohl CJ, McCarty M, Lu L, Mulligan MK, Mozhui K, Centeno A, Williams EG, Auwerx J, Williams RW"
Title: Genetics of Longevity in BXD mice
Journal: N/A
Dataset Link: http://gn1.genenetwork.org/webqtl/main.py?FormID=sharinginfo&InfoPageName=BXDPublish

Name,Value,SE,N
C57BL/6J,802,37.742,19
DBA/2J,641,24.933,39
B6D2F1,933,35.206,6
D2B6F1,771,54.066,7
BXD1,786,88.196,9
BXD2,473,72.246,3
BXD5,553,84.509,7
BXD6,636,41.034,11
BXD8,452,60.932,6
BXD9,507,29.44,21
BXD11,673,54.045,8
BXD12,830,125.932,4
BXD13,342,74.566,9
BXD14,520,24.242,7
BXD15,694,36.634,9
BXD16,614,37.135,15
BXD18,527,77.066,7
BXD19,723,52.246,11
BXD22,596,83.499,5
BXD24,690,53.469,14
BXD27,758,58.246,8
BXD28,876,38.182,10
BXD29,804,50.215,16
BXD31,594,73.1,7
BXD32,691,52.004,14
BXD34,679,104.711,3
BXD39,614,64.342,7
BXD40,585,66.311,13
BXD43,745,44.476,10
BXD44,565,16.737,6
BXD45,756,33.732,6
BXD48,695,43.7,8
BXD48a,645,40.421,16
BXD51,862,31.426,8
BXD53,763,53.25,8
BXD56,645,71.982,8
BXD60,651,51.651,16
BXD61,756,36.74,12
BXD62,734,36.872,10
BXD63,708,80.884,8
BXD65,866,24.399,10
BXD65b,726,26.279,12
BXD66,516,63.285,9
BXD68,622,113.008,4
BXD69,615,56.747,14
BXD70,721,35.801,18
BXD71,874,23.333,3
BXD73,702,38.677,9
BXD73b,806,34.072,16
BXD75,779,41.556,9
BXD77,793,50.861,13
BXD79,417,37.532,17
BXD83,523,58.316,4
BXD84,769,44.704,12
BXD85,658,56.577,12
BXD86,804,82.424,10
BXD87,836,48.543,6
BXD89,709,47.801,12
BXD90,706,41.492,17
BXD91,925,62.045,7
BXD95,602,38.522,8
BXD98,623,41.5,12
BXD100,728,41.382,18
BXD101,688,48.971,12
BXD102,843,65.786,11
BXD123,782,105.788,3
BXD155,638,52.505,3
BXD157,835,95.911,
BXD160,740,24.768,3
BXD161,735,80.137,7
BXD168,875,48.489,12
BXD169,671,47.555,6
BXD170,487,51.834,9
BXD171,660,77.167,8
BXD172,569,69.593,9
BXD175,975,64.09,5
BXD178,593,55.242,7
BXD181,675,61.312,8
BXD186,734,59.07,6
BXD187,653,62.869,8
BXD190,612,36.215,6
BXD191,619,34.764,5
BXD194,747,47.187,7
BXD195,894,40.933,7
BXD197,602,83.976,5
BXD199,606,57.94,8
BXD202,717,48.513,4
BXD205,734,46.884,3
BXD214,703,45.063,8
