h 	 pve 	 rho 	 pge 	 pi 	 n_gamma
3.285140e-02	2.892100e-02	8.448451e-01	7.874694e-01	8.469088e-03	75	
4.894506e-02	2.930349e-02	3.637141e-02	1.102365e-01	1.163635e-02	74	
7.503379e-03	1.071416e-02	4.823696e-02	7.675700e-02	9.505319e-03	68	
1.358815e-01	1.498372e-01	8.132352e-01	8.059613e-01	9.932013e-03	83	
8.804826e-02	7.118129e-02	8.142099e-01	8.498214e-01	1.204185e-02	90	
1.114110e-01	1.290036e-01	6.902048e-02	4.179651e-02	1.169602e-02	73	
2.580070e-01	2.360197e-01	8.703294e-01	9.295272e-01	1.163884e-02	86	
1.989953e-02	1.630818e-02	1.850624e-01	2.434202e-01	1.070027e-02	79	
3.991195e-01	3.647073e-01	6.082530e-02	7.736825e-02	7.867838e-03	70	
5.051631e-02	5.083426e-02	4.337126e-01	3.079275e-01	8.237772e-03	69	
3.374727e-01	3.557388e-01	2.129795e-01	2.153046e-01	7.582175e-03	68	
6.744193e-01	6.535506e-01	2.308780e-01	1.849767e-01	8.738604e-03	68	
1.395286e-01	1.442542e-01	3.321849e-01	3.388970e-01	9.068929e-03	73	
2.678224e-01	2.033177e-01	1.480895e-01	2.078805e-01	7.541522e-03	70	
1.970570e-02	2.162528e-02	1.422925e-01	1.086954e-01	9.719591e-03	72	
2.087995e-01	2.405148e-01	6.739208e-01	6.986015e-01	8.459379e-03	62	
1.746747e-01	1.817903e-01	2.784837e-01	5.990015e-01	6.134666e-03	48	
2.973200e-01	2.588028e-01	3.656313e-01	5.189073e-01	7.889030e-03	61	
2.772120e-01	3.136297e-01	8.190559e-02	6.154468e-02	8.334220e-03	63	
4.915046e-02	4.799641e-02	9.864410e-02	1.017973e-01	7.216510e-03	60	
7.870870e-01	8.102670e-01	4.633627e-01	3.475303e-01	1.049156e-02	61	
5.591499e-02	4.660136e-02	6.846523e-03	5.707474e-03	7.687855e-03	44	
2.110986e-01	2.099566e-01	1.692407e-01	1.364987e-01	5.643744e-03	44	
6.174459e-02	5.870620e-02	4.803742e-01	2.809384e-01	5.128040e-03	31	
5.166538e-01	4.863919e-01	2.828659e-02	2.086631e-02	4.208390e-03	29	
6.274613e-02	7.215248e-02	6.573414e-01	5.316763e-01	4.137530e-03	28	
1.929560e-01	2.082318e-01	5.249128e-01	6.015116e-01	2.903210e-03	27	
3.825245e-01	1.646791e-01	8.849561e-01	7.463228e-01	3.050217e-03	22	
3.747387e-01	3.032811e-01	5.860178e-01	5.374076e-01	3.029113e-03	16	
5.567855e-01	4.305113e-01	1.010276e-01	5.437271e-02	3.487226e-03	24	
4.238793e-01	3.311243e-01	3.594669e-01	3.846895e-01	3.423838e-03	20	
8.564725e-02	6.608669e-02	9.848478e-01	9.797044e-01	2.694220e-03	26	
1.061485e-01	9.318869e-02	7.868556e-01	7.205384e-01	2.899284e-03	22	
3.366643e-01	3.712559e-01	8.323520e-02	6.340608e-02	4.369243e-03	26	
4.041352e-01	4.163380e-01	3.710817e-01	3.160997e-01	4.034911e-03	28	
1.116088e-01	8.278664e-02	6.258365e-01	5.615681e-01	2.679248e-03	21	
3.473434e-02	5.681615e-02	3.837508e-01	5.653231e-01	2.509993e-03	23	
3.027074e-01	2.121272e-01	7.381289e-01	5.672465e-01	3.193130e-03	21	
3.424987e-01	2.107624e-01	5.012305e-01	4.257847e-01	2.646666e-03	19	
1.761991e-01	1.352767e-01	9.155192e-01	8.581901e-01	2.042871e-03	16	
1.206470e-01	1.745149e-01	7.787247e-01	8.471447e-01	1.700807e-03	15	
2.512183e-01	2.546980e-01	8.738806e-01	8.742147e-01	2.345433e-03	14	
4.706332e-01	3.825403e-01	9.792273e-01	9.758831e-01	1.825551e-03	15	
2.317538e-01	1.833441e-01	4.698784e-01	2.709122e-01	1.677485e-03	10	
2.620603e-01	3.582649e-01	9.353937e-02	6.517725e-02	2.012542e-03	11	
2.328190e-01	2.431434e-01	9.742715e-01	9.792381e-01	1.443688e-03	16	
4.009161e-01	2.478861e-01	6.139433e-01	3.135055e-01	1.167058e-03	4	
6.828445e-01	5.967934e-01	7.981461e-01	5.029563e-01	9.719693e-04	6	
4.289311e-01	3.948654e-01	7.828337e-02	6.585766e-02	1.412157e-03	10	
3.198857e-01	2.270115e-01	3.996093e-01	3.705721e-01	1.237246e-03	6	
5.656366e-01	4.330242e-01	4.069483e-01	1.249963e-01	6.067276e-04	3	
4.126587e-01	4.421394e-01	5.665640e-02	6.205421e-02	7.925215e-04	10	
1.024785e-01	9.420580e-02	5.591937e-01	3.923285e-01	9.106665e-04	8	
5.327491e-01	4.429985e-01	3.210056e-01	1.287788e-02	7.689483e-04	2	
1.178872e-02	1.183212e-02	1.145575e-01	1.888263e-01	8.663512e-04	7	
1.685207e-01	1.513664e-01	3.659416e-01	3.299232e-01	1.087696e-03	6	
7.038118e-01	5.316348e-01	6.104731e-01	2.234927e-01	7.648188e-04	3	
8.574464e-02	8.433836e-02	2.222464e-01	1.868144e-02	7.024994e-04	3	
3.038077e-01	2.441415e-01	5.107190e-02	7.837327e-02	7.444528e-04	9	
5.574710e-02	5.528176e-02	8.084830e-01	7.921977e-01	7.700674e-04	7	
6.042984e-01	6.476022e-01	1.691654e-01	3.288492e-01	5.361249e-04	2	
5.330613e-02	4.030485e-02	5.321578e-01	3.515996e-01	5.452989e-04	6	
3.824127e-01	3.543160e-01	3.570304e-01	4.152415e-02	4.164334e-04	2	
2.343279e-01	2.635613e-01	2.208712e-01	1.659150e-01	6.704998e-04	5	
4.239307e-01	5.266033e-01	8.312539e-01	8.857463e-01	6.917023e-04	7	
2.233831e-01	2.913909e-01	2.180723e-01	3.667201e-01	8.658423e-04	8	
1.438734e-01	1.254101e-01	1.450547e-01	1.625361e-01	1.353070e-03	4	
5.926463e-01	5.761102e-01	5.208203e-02	9.849638e-03	1.778140e-03	6	
3.529418e-01	3.909746e-01	1.552260e-01	1.189658e-01	1.442986e-03	7	
3.324244e-01	3.208599e-01	3.714315e-01	3.671520e-01	1.114420e-03	7	
6.337745e-01	6.582513e-01	8.411790e-02	7.676447e-02	1.084422e-03	8	
2.379386e-01	2.522103e-01	2.099751e-01	1.056628e-01	1.081380e-03	9	
6.609181e-01	5.659639e-01	8.312822e-01	6.970871e-01	1.553598e-03	13	
4.773840e-02	3.780671e-02	9.644042e-01	9.607625e-01	1.161385e-03	4	
2.973856e-01	3.142922e-01	5.437845e-03	4.730261e-03	1.260568e-03	8	
4.810219e-01	3.137911e-01	1.056724e-01	3.027412e-02	1.724286e-03	6	
3.295008e-02	3.911141e-02	8.573406e-01	8.628032e-01	1.789298e-03	21	
1.245424e-01	1.184787e-01	6.676738e-01	7.238569e-01	2.656501e-03	21	
1.473180e-02	4.338235e-03	9.964869e-01	9.882470e-01	3.661117e-03	25	
6.407917e-01	5.610520e-01	7.242710e-02	1.360569e-01	3.746697e-03	19	
2.746805e-01	2.268949e-01	4.725259e-01	4.324245e-01	3.111246e-03	18	
3.685815e-01	3.105098e-01	5.811717e-01	2.626545e-01	3.841308e-03	19	
2.763891e-01	2.228301e-01	6.300438e-01	4.578560e-01	3.663209e-03	19	
1.969009e-01	2.137129e-01	4.465500e-02	2.370188e-02	3.014853e-03	23	
2.778295e-01	3.709308e-01	9.022024e-01	9.152262e-01	2.665687e-03	21	
2.139126e-01	1.957941e-01	2.908361e-01	2.342938e-01	2.587787e-03	15	
2.077517e-01	2.560196e-01	4.050504e-01	2.827924e-01	2.680552e-03	23	
1.510997e-01	1.175892e-01	2.839232e-01	2.644407e-01	3.761321e-03	29	
1.862726e-01	1.450098e-01	6.738752e-02	8.952870e-02	3.928137e-03	31	
1.065825e-01	9.312794e-02	8.093472e-01	8.237203e-01	6.182718e-03	30	
2.118502e-01	2.659590e-01	4.665332e-01	6.118147e-01	4.046815e-03	32	
6.210044e-01	5.964067e-01	6.869118e-02	9.562646e-02	4.106397e-03	32	
1.326079e-02	8.563724e-03	8.887325e-02	1.339702e-01	3.845362e-03	34	
5.524872e-02	4.856940e-02	8.745799e-01	8.721209e-01	4.674584e-03	38	
4.710448e-01	4.626228e-01	3.676634e-01	2.610075e-01	3.428820e-03	32	
3.222316e-01	2.875992e-01	4.799349e-01	3.762231e-01	3.805500e-03	28	
3.581482e-01	3.657097e-01	3.851125e-01	2.116763e-01	4.208395e-03	27	
2.080096e-02	1.457136e-02	5.230413e-01	2.239276e-01	3.549227e-03	16	
6.406892e-01	5.933628e-01	1.491497e-01	2.690841e-01	3.126052e-03	28	
1.415140e-01	1.599081e-01	1.964859e-01	1.636477e-01	4.447585e-03	37	
3.452001e-01	3.342284e-01	5.637717e-01	5.320751e-01	5.737121e-03	34	
4.284105e-01	3.843867e-01	3.001124e-01	3.617009e-01	5.049530e-03	35	
2.482686e-01	1.829706e-01	1.799054e-01	3.776990e-01	5.429846e-03	41	
1.006540e-01	7.267925e-02	9.686074e-01	9.643831e-01	6.335507e-03	38	
2.782471e-01	2.920649e-01	5.935316e-01	6.778516e-01	4.720723e-03	42	
1.765298e-01	2.373598e-01	4.981091e-02	3.919076e-02	4.659276e-03	49	
6.039223e-01	4.618566e-01	7.140261e-01	5.579009e-01	6.104229e-03	46	
7.165158e-01	6.628524e-01	4.831573e-01	5.558065e-01	5.911597e-03	40	
2.773714e-01	2.869989e-01	8.196900e-01	8.534101e-01	5.105412e-03	38	
3.535591e-01	3.468880e-01	3.758231e-01	3.854733e-01	4.841761e-03	53	
2.211686e-01	2.693022e-01	3.020217e-01	3.728617e-01	7.053735e-03	47	
1.751125e-01	1.833384e-01	6.809414e-01	8.412013e-01	6.270315e-03	45	
5.993319e-02	7.351476e-02	9.927015e-03	4.955275e-03	5.229985e-03	34	
1.033367e-01	8.249297e-02	7.365650e-01	8.171817e-01	6.544096e-03	38	
1.011396e-01	7.848622e-02	1.574411e-01	1.968258e-01	6.828778e-03	54	
9.943460e-02	1.303876e-01	8.005570e-01	8.613505e-01	4.181422e-03	40	
4.993994e-01	3.906606e-01	2.943793e-01	2.376834e-01	4.467615e-03	34	
2.092875e-01	2.026746e-01	6.809748e-02	1.144977e-01	5.155399e-03	34	
1.975086e-01	1.328980e-01	6.730054e-01	5.830224e-01	5.771429e-03	36	
1.478300e-01	1.543970e-01	4.824524e-01	5.716926e-01	5.157766e-03	37	
8.809676e-03	7.412361e-03	6.508701e-01	6.614814e-01	5.254397e-03	40	
2.552409e-01	2.727689e-01	5.398372e-01	6.094572e-01	7.276330e-03	50	
3.996039e-01	3.884256e-01	9.979566e-01	9.976378e-01	5.474882e-03	32	
1.511168e-01	1.438705e-01	9.864397e-01	9.894074e-01	4.854761e-03	33	
1.045981e-01	8.674720e-02	9.475568e-01	9.433494e-01	4.996260e-03	28	
2.460141e-01	2.766435e-01	4.911176e-01	4.775809e-01	4.876796e-03	33	
7.950572e-01	7.244139e-01	3.550500e-01	2.121309e-01	3.893287e-03	25	
1.291474e-01	1.024688e-01	2.631553e-01	2.480431e-01	3.373302e-03	28	
4.160841e-02	7.335963e-02	9.900543e-01	9.894321e-01	3.218601e-03	26	
4.169728e-01	4.430000e-01	6.579329e-01	6.869357e-01	3.849905e-03	31	
3.917563e-01	4.268504e-01	3.645982e-01	3.659176e-01	4.851025e-03	38	
1.134418e-01	1.345307e-01	4.203617e-02	2.226838e-02	4.315884e-03	28	
4.932522e-01	4.920865e-01	3.037747e-02	2.154697e-02	3.447755e-03	27	
2.180329e-03	2.089557e-03	2.708698e-02	4.064231e-02	5.389289e-03	39	
4.507599e-02	5.797110e-02	3.445648e-01	2.768470e-01	4.765819e-03	39	
2.199908e-01	2.503057e-01	7.727825e-01	7.709869e-01	4.676183e-03	34	
4.741198e-01	5.273332e-01	7.185507e-01	7.826457e-01	3.334970e-03	28	
4.860247e-01	5.039656e-01	4.702687e-01	3.892659e-01	2.152270e-03	16	
2.833245e-01	3.020090e-01	1.688396e-01	3.816124e-01	1.724282e-03	18	
3.507868e-01	2.235587e-01	8.543460e-01	6.411974e-01	1.537651e-03	12	
2.700072e-01	2.038781e-01	9.611252e-01	9.412239e-01	1.497167e-03	11	
1.325600e-01	1.271839e-01	9.698412e-01	9.623139e-01	1.244526e-03	11	
1.482708e-01	1.575620e-01	1.614048e-01	1.944993e-02	1.388793e-03	5	
3.718207e-01	2.381366e-01	9.287825e-01	8.905875e-01	1.212155e-03	9	
4.915975e-02	3.935259e-02	1.859402e-01	1.047185e-01	1.507629e-03	9	
3.649413e-01	3.066260e-01	6.377643e-01	4.141101e-01	1.487384e-03	5	
5.341193e-02	5.587066e-02	1.954202e-02	3.317154e-02	1.961915e-03	18	
3.648465e-01	4.667544e-01	9.878626e-01	9.922146e-01	1.689830e-03	14	
4.021753e-01	3.364882e-01	2.903726e-01	1.181306e-01	1.436760e-03	9	
1.118807e-01	1.548481e-01	6.313896e-01	8.129095e-01	2.165098e-03	19	
3.608161e-01	2.359419e-01	9.538294e-01	9.062936e-01	2.399186e-03	13	
7.423657e-02	5.703238e-02	6.481341e-01	3.778575e-01	1.764141e-03	10	
2.092352e-01	2.692624e-01	5.979108e-01	6.633965e-01	1.270855e-03	8	
4.207154e-01	1.855186e-01	8.147537e-01	1.698233e-01	1.109448e-03	2	
2.245061e-01	1.575200e-01	2.673281e-01	5.405828e-02	9.572071e-04	4	
1.968820e-01	1.772488e-01	2.184595e-01	3.257122e-01	9.423796e-04	7	
3.337724e-01	2.444945e-01	4.879676e-01	4.447570e-01	6.312746e-04	5	
9.702663e-02	9.142545e-02	9.591850e-01	9.715957e-01	6.779215e-04	5	
5.538660e-01	3.494095e-01	6.688562e-01	4.468613e-01	6.637388e-04	6	
1.163359e-01	1.216835e-01	4.356403e-02	4.506891e-02	8.914653e-04	12	
3.573465e-02	2.915914e-02	7.494305e-01	6.630793e-01	9.581651e-04	5	
1.790275e-01	2.275965e-01	3.222004e-01	2.578298e-01	8.490985e-04	8	
2.085124e-01	2.053751e-01	3.894375e-01	3.824760e-01	6.211145e-04	7	
2.803892e-01	2.875337e-01	6.034136e-01	5.772842e-01	8.086877e-04	4	
4.748349e-01	4.408596e-01	9.287720e-01	9.142362e-01	7.714967e-04	7	
2.320017e-01	2.719231e-01	6.041933e-01	7.219260e-01	4.215698e-04	5	
2.274865e-01	1.352320e-01	6.004953e-01	2.500240e-01	7.171918e-04	3	
2.705724e-01	2.110085e-01	3.876392e-01	1.770445e-01	4.770379e-04	3	
1.302441e-01	1.540542e-01	3.126555e-01	5.928705e-01	4.863009e-04	7	
7.127728e-01	6.041833e-01	7.762820e-01	6.585338e-01	4.836565e-04	3	
2.809199e-02	1.858695e-02	8.547831e-01	8.180322e-01	5.917985e-04	4	
2.724122e-01	2.065399e-01	6.915341e-01	5.029632e-01	3.785613e-04	4	
2.122746e-01	1.280938e-01	8.689237e-01	5.165755e-01	4.216997e-04	2	
5.744962e-01	5.281664e-01	5.597713e-01	5.051071e-01	3.623529e-04	4	
1.652006e-01	4.671975e-02	7.554873e-01	0.000000e+00	3.271273e-04	0	
4.160592e-01	2.035544e-02	9.725885e-01	0.000000e+00	3.072112e-04	0	
1.612267e-01	1.425761e-01	1.110825e-01	0.000000e+00	4.080830e-04	0	
2.793197e-01	2.338855e-01	3.781500e-01	1.035133e-01	2.110729e-04	1	
4.508667e-01	4.425960e-01	4.353081e-01	2.452694e-01	2.900788e-04	4	
6.312723e-02	6.970808e-02	9.829927e-01	9.807708e-01	1.448122e-04	1	
5.976197e-01	6.641718e-01	3.510113e-01	4.522713e-01	1.710410e-04	2	
5.464315e-01	5.022143e-01	3.428419e-01	3.664202e-01	1.672932e-04	1	
1.197571e-01	1.498079e-01	6.278340e-01	7.350538e-01	2.347562e-04	3	
3.016493e-01	3.534464e-01	2.160644e-01	4.760422e-01	5.761681e-04	6	
2.049778e-01	1.929756e-01	8.336047e-01	8.368546e-01	5.545497e-04	7	
2.767153e-01	1.475120e-01	5.322302e-01	2.272023e-01	4.109970e-04	3	
8.371584e-02	9.568756e-02	5.611414e-01	7.347284e-01	6.090594e-04	5	
9.352835e-02	6.292561e-02	4.937795e-01	5.418593e-01	6.649468e-04	4	
4.121584e-01	1.262518e-01	8.571838e-01	3.039937e-01	7.686323e-04	5	
1.521093e-01	3.965195e-02	8.049545e-01	4.440423e-01	8.817630e-04	2	
2.871564e-01	1.667212e-01	8.107053e-01	7.526876e-01	8.633295e-04	5	
3.657477e-03	4.686559e-03	9.417501e-01	9.560760e-01	1.742522e-03	12	
8.918630e-01	8.668629e-01	1.655781e-01	1.972395e-01	1.961570e-03	16	
1.033605e-01	1.231108e-01	6.286660e-03	7.202959e-03	1.898136e-03	13	
5.865080e-02	6.342203e-02	3.614340e-01	2.255251e-01	2.183005e-03	24	
2.048477e-01	1.821974e-01	3.527577e-02	2.656834e-02	2.644984e-03	19	
2.527006e-01	2.300097e-01	3.890952e-01	4.946621e-01	2.674595e-03	24	
4.245252e-01	3.060168e-01	6.970422e-01	5.138698e-01	4.084777e-03	21	
2.664112e-01	3.226211e-01	8.654167e-01	8.999327e-01	3.590491e-03	30	
4.362459e-01	1.804032e-01	9.598632e-01	7.952892e-01	3.897710e-03	18	
4.467128e-01	4.173034e-01	2.278410e-01	2.191491e-01	4.723427e-03	29	
5.648828e-01	1.817965e-01	9.492555e-01	6.317402e-01	4.022293e-03	16	
