ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
C0024131,Lupus Vulgaris,372,-0.5128254328088079,-1.8797307441720146,1e-10,2.5563333333333334e-7,2.3708771929824565e-7,1689,"tags=23%, list=12%, signal=21%",TNFAIP3/TNIP1/TNFRSF17/TLR9/HDAC9/C3/TLR8/GPER1/SH2B2/EMB/CDK1/TBX21/ISG20/MTHFR/IRF5/CDKN1A/CD80/MMP11/PRKCB/TG/PDCD1/IL1B/SIGLEC1/ITGB2/ETS1/TIGIT/APOM/IL4/IL21/NR0B2/BACH2/CIITA/CD48/CD69/TNFRSF13B/CD72/LEP/CXCL10/CD70/CXCR3/TRPC6/STAT4/BTK/IL16/GRAP2/ITGAL/PTPRC/BCL2/PTPN6/CXCR4/MPL/CAMK4/SYK/CTLA4/CORO1A/IFNG/TNFSF4/IL2/IL15/IL33/H4C1/DOCK11/PTGS1/IL10/SH2D1A/H4C6/H4C9/CD40/IL21R/SLAMF6/MSH5/APOH/CD8B/TNFRSF9/CD247/CD40LG/CD2/SLAMF1/BTLA/BANK1/BLK/CXCR5/FOXP3/CD19/CXCL13/CR2
C0024138,"Lupus Erythematosus, Discoid",388,-0.5180443279542951,-1.9085699952114275,1e-10,2.5563333333333334e-7,2.3708771929824565e-7,1706,"tags=23%, list=12%, signal=21%",ABCC6/TNFAIP3/TNIP1/TNFRSF17/TLR9/HDAC9/C3/TLR8/GPER1/SH2B2/EMB/CDK1/TBX21/ISG20/MTHFR/NCF1/IRF5/CDKN1A/CD80/MMP11/PRKCB/TG/PDCD1/IL1B/SIGLEC1/ITGB2/ETS1/TIGIT/APOM/IL4/IL21/NR0B2/BACH2/CIITA/CD48/CD69/TNFRSF13B/CD72/LEP/CXCL10/CD70/CXCR3/TRPC6/STAT4/BTK/IL16/GRAP2/ITGAL/PTPRC/BCL2/PTPN6/CXCR4/MPL/CAMK4/SYK/CTLA4/CORO1A/IFNG/TNFSF4/IL2/IL15/IL33/H4C1/DOCK11/IL7R/PTGS1/IL10/SH2D1A/H4C6/H4C9/CD40/IL21R/SLAMF6/MSH5/APOH/CD8B/TNFRSF9/CD247/CD40LG/CD2/CD209/SLAMF1/TNFRSF13C/BTLA/BANK1/BLK/CXCR5/FOXP3/CD19/CXCL13/CR2
C0270960,Congenital myopathy (disorder),56,0.8046422346976646,2.3623348656594167,1e-10,2.5563333333333334e-7,2.3708771929824565e-7,863,"tags=39%, list=6%, signal=37%",MYH7/ACTA1/NEB/RYR1/CNTN1/TTN/MYL1/TNNC2/TRDN/LMOD3/KLHL31/MYH2/MYOG/KLHL40/KY/CACNA1S/DES/SCN4A/FLNC/SPTBN4/STAC3/CCDC78
C4021726,EMG: myopathic abnormalities,102,0.6931590082457302,2.187487442760115,1.870837600871338e-10,3.178243553755898e-7,2.9476692484065865e-7,1542,"tags=32%, list=11%, signal=29%",MYL2/MYH7/GLI2/SGCA/ACTA1/MYPN/NEB/CASQ1/RYR1/MYOT/TTN/KLHL41/MYF6/CLCN1/TNNT1/FOXH1/SLC5A7/ANO5/MUSK/ZIC2/DES/SCN4A/DISP1/LDB3/CHRNA1/CRYAB/SNAP25/CHRNE/SGCG/GAS1/RAPSN/KBTBD13/COL13A1
C0024301,"Lymphoma, Follicular",340,-0.5247471811982758,-1.904477239149605,2.0721368847019809e-10,3.178243553755898e-7,2.9476692484065865e-7,1516,"tags=21%, list=11%, signal=20%",LMNB1/ISG20/MTHFR/CDKN1A/CCL5/CLEC4D/ZC3H12D/GADD45B/TRRAP/IRF8/MZB1/PDCD1/TNFRSF14/ETS1/LCP2/NFKBIE/SOCS1/IL4/IL21/NR0B2/MKI67/BACH2/MYB/LEP/CD70/CXCR3/IRF4/AFF3/TP73/BTK/POU2F2/E2F2/DOCK2/CARD11/HVCN1/BCL2/PTPN6/CXCR4/PLK1/CORO1A/GCSAM/RHOH/IFNG/IL2/ZAP70/POU2AF1/IL7R/IL10/TNFRSF25/NAPSA/RHOF/IL31RA/CD40/IL21R/CD247/CD6/DNTT/CD40LG/CD27/TNFRSF8/FLT3/BTLA/CCL22/IL12A/CD37/CXCR5/FOXP3/CD19/LEF1/FCER2/PAX5/AICDA/CR2
C0398650,Immune thrombocytopenic purpura,226,-0.5805546905728487,-2.0336536913858163,2.810571751230988e-10,3.592379126698408e-7,3.3317602321171556e-7,2259,"tags=36%, list=16%, signal=31%",TNFSF13B/GFI1B/FKBP5/RASGRP1/CD44/THPO/CD38/DNMT3A/RTEL1/IL6/F2RL3/TBC1D9/CD274/HOXA5/IL18/IL10RA/TNFAIP3/TNFRSF17/GGCT/ARHGEF1/SMAD7/IKZF1/TBX21/ISG20/IL2RB/RUNX3/HOXB4/TG/SERPINE1/PDCD1/IL1B/IL11/AHCY/ABO/GP6/IL4/IL21/CIITA/CD69/TNFRSF13B/CD72/CSF2/LEP/CXCL10/CD70/CXCR3/IRF4/CDK5R1/STAT4/IL16/CD83/PTPRC/BCL2/TNFRSF4/CXCR4/LTA/MPL/SYK/CTLA4/HPSE/IFNG/TNFSF4/IL2/IL33/ZAP70/IL7R/PTGS1/IL10/CD40/APOH/CD40LG/HLA-DOA/TNFRSF13C/ADAMTS13/IL12A/CCR6/CXCR5/INSRR/FOXP3/CD19/CXCL13/CR2
C3806467,Respiratory insufficiency due to muscle weakness,74,0.7258298424943057,2.1877840334045993,9.386419042665113e-10,1.028349251974268e-6,9.537448642298974e-7,1094,"tags=26%, list=8%, signal=24%",MYL2/MYH7/ACTA1/MYPN/NEB/RYR1/CNTN1/TTN/MYL1/KLHL41/MYF6/LMOD3/TNNT1/DES/ERBB4/SFTPC/CHRNA1/CRYAB/CHRNE
C0409974,Lupus Erythematosus,393,-0.4993584317705369,-1.8420445201692701,1.083419180341747e-9,1.0385927117551072e-6,9.63245184416998e-7,1689,"tags=22%, list=12%, signal=20%",TNFAIP3/TNIP1/TNFRSF17/TLR9/HDAC9/C3/TLR8/GPER1/SH2B2/EMB/CDK1/TBX21/ISG20/MTHFR/IRF5/CDKN1A/CD80/MMP11/PRKCB/TG/PDCD1/IL1B/LRRK2/E2F1/SIGLEC1/ITGB2/ETS1/TIGIT/APOM/IL4/IL21/NR0B2/BACH2/CIITA/CD48/CD69/TNFRSF13B/CD72/LEP/CXCL10/CD70/CXCR3/TRPC6/STAT4/BTK/IL16/GRAP2/ITGAL/PTPRC/BCL2/PTPN6/CXCR4/MPL/CAMK4/SYK/CTLA4/CORO1A/IFNG/TNFSF4/IL2/IL15/IL33/H4C1/DOCK11/PTGS1/IL10/SH2D1A/H4C6/H4C9/CD40/IL21R/SLAMF6/MSH5/APOH/CD8B/TNFRSF9/CD247/CD40LG/CD2/SLC38A1/SLAMF1/BTLA/BANK1/BLK/CXCR5/FOXP3/CD19/CXCL13/CR2
C1292769,Precursor B-cell lymphoblastic leukemia,349,-0.5010095350331826,-1.8210625933189286,1.6262953685740094e-9,1.385784353510453e-6,1.2852488661350389e-6,2186,"tags=31%, list=15%, signal=27%",CD44/HERPUD1/ALOX5/ADM/PARP1/CDC34/CSF2RA/CD38/ICAM1/DNMT3A/RTEL1/IL6/RASSF6/ASPM/ARID3A/TBC1D9/TNNI3/JCHAIN/GDF15/PIP4K2A/FLT3LG/TELO2/THY1/KL/PIM2/ASPG/HOXB7/MXD3/NOTCH4/MTSS1/FUT4/GHRH/HDAC9/C3/SMAD7/IGF2BP3/IKZF1/PTP4A3/ISG20/MTHFR/HOXB4/CD80/FANCD2/TIMP1/FZD9/INPP5D/EBI3/SERPINE1/ITGB2/PBX3/LCP2/RCSD1/IL4/IGF2BP1/LAPTM5/CSF2/CXCL10/CD70/NPPC/IRF4/NOG/HOXB2/HOXB3/AFF3/TP73/UHRF1/TACR1/BTK/POU2F2/AURKB/PTPRC/BCL2/PLK1/MPL/SYK/IFNG/CEBPE/IL2/HES5/IL15/GRIA1/ZAP70/POU2AF1/IL7R/IL10/IL2RG/MYCN/CD247/CD6/KMO/CD27/BST1/FLT3/CD79A/TNFRSF13C/BTLA/CD79B/BANK1/CCR7/CCR6/CXCR5/CD22/CD19/LEF1/CXCL13/FCER2/PAX5/AICDA
C0018213,Graves Disease,386,-0.48919788288100946,-1.803902022953408,3.135078635465572e-9,2.404291805538547e-6,2.2298659305095656e-6,1945,"tags=27%, list=14%, signal=24%",PARP1/SUV39H2/GLUL/ICAM1/STK26/B3GNT2/ITGAE/IL6/ST3GAL1/TBC1D9/TNNI3/PDCD1LG2/AIRE/GJA1/CD274/WARS2/ADRA2B/IL18/GNAO1/NOTCH4/ABCC6/TNFAIP3/ADRB2/TLR9/TLR8/SH2B2/HLA-G/TBX21/ISG20/MTHFR/GAD1/BTNL2/CD80/CCL5/PROK1/TIMP1/TG/EBI3/SERPINE1/PDCD1/GDF1/IL1B/SIGLEC1/ITGB2/ETS1/UBASH3A/ABO/IL4/IL21/HFM1/LPAR3/BACH2/ANGPTL8/CYP27B1/CXCL10/CD160/CXCR3/CLCNKB/STAT4/IL16/CD83/PTPRC/BCL2/UCP1/CXCR4/LTA/CTLA4/TLR1/IFNG/IL2/IL15/FNDC5/DOCK11/JAKMIP2/IL10/SH2D1A/TNFRSF25/CD40/MMEL1/IL21R/SLAMF6/RAC2/GPR174/PDZK1/DNTT/CD40LG/TNFRSF8/FCRLA/IKZF3/SSTR4/SELL/HLA-DOA/LTB/IL12A/BANK1/CCR6/BLK/CXCR5/FOXP3/CD19/CXCL13/FCER2/FCRL5/AICDA/AZGP1
