ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0042113,B cell activation,258,-0.6702709983071571,-2.3828392142096377,3.035710532341518e-21,9.29838136056207e-18,8.56549692835941e-18,1781,"tags=33%, list=12%, signal=30%",Tnfaip3/Tlr9/Hdac9/C3/Ikzf1/Tbx21/Nfam1/Spi1/Cdkn1a/Plcl2/Cmtm7/Prkcb/Slamf8/Fzd9/Inpp5d/Nckap1l/Irf8/Mzb1/Phf14/Mef2c/Pik3cd/Dock10/Il4/Il21/Laptm5/Tnfrsf13b/Lat2/Myb/Cd70/Lyl1/Btk/Clcf1/Pou2f2/Gpr183/Card11/Ptprc/Bcl2/Tnfrsf4/Ptpn6/Icosl/Lax1/Syk/Ctla4/Gimap1/Ifng/Sash3/Samsn1/6030468B19Rik/Tnfsf4/Il2/Pou2af1/Dock11/Il7r/Il10/Il2rg/Gapt/Cd40/Il27ra/Pagr1a/Tbc1d10c/Cd40lg/Cd27/Cdh17/Bst1/Ikzf3/Flt3/Il9r/Cd79a/Tnfrsf13c/Btla/Fcrl1/Ntrk1/Cd79b/Bank1/Ccr6/Cxcr5/Ms4a1/Cd22/Foxp3/Siglecg/Cd19/Lef1/Spib/Aicda/Cr2
GO:0002250,adaptive immune response,385,-0.6124462245556395,-2.2580207039922,2.552551580700496e-21,9.29838136056207e-18,8.56549692835941e-18,1537,"tags=30%, list=10%, signal=27%",Il2rb/Txk/Cd80/Jam3/H2-DMa/Ascl2/Clec4d/Rftn1/Il25/Prkcb/Gadd45g/Inpp5d/Nckap1l/Slamf7/Nfkbid/Pdcd1/Il1b/Mef2c/Tnfrsf14/Was/Il27/Pik3cd/Il4/Lamp3/Bach2/Prf1/Cd69/Tnfrsf13b/Lat2/Cd160/Cd70/Adcy7/Irf4/Clec4g/Dennd1b/H2-Ea/Unc13d/Pag1/Stat4/Btk/Clcf1/Pou2f2/Sla2/Gpr183/Ptprc/Ptpn6/Il13ra2/Lta/Cd3e/Klhl6/Icosl/Cd8a/Lax1/Mpl/Camk4/Syk/Ctla4/Prkcq/Ly9/Ifng/Themis/Sash3/Samsn1/Fcer1a/6030468B19Rik/Tnfsf4/Il2/Tarm1/Igll1/Cd3g/Eomes/Il33/Zap70/Myo1g/Il7r/Cd4/Stx11/Sh2d1a/Gapt/Il31ra/Skap1/Itk/Cd40/Il27ra/Il21r/Slamf6/Pagr1a/Cd8b1/Cd247/Cd40lg/Cd27/Cd3d/Il9r/Cd79a/Mcoln2/Sit1/Lat/Slamf1/Tnfrsf13c/Btla/Il12a/Fut7/Trat1/Cd79b/Ccr7/Ccr6/Foxp3/Siglecg/Fcmr/Cd19/Lef1/Fcer2a/Aicda/Cr2
GO:0030098,lymphocyte differentiation,407,-0.5709406078355588,-2.1034059693220515,2.3124180606454705e-17,4.7219576798380507e-14,4.349780078287848e-14,2059,"tags=32%, list=14%, signal=28%",St3gal1/Aqp8/Nfatc1/Adam8/Runx2/Sox13/Lfng/Aire/Prdm1/Flt3l/Il6ra/Il18/Cracr2a/Prex1/Tnfaip3/Tlr9/Hdac9/Smad7/Ikzf1/H2-M3/Tbx21/Nfam1/Spi1/Runx3/Txk/Plcl2/H2-DMa/Fancd2/Ascl2/Clec4d/Cmtm7/Slamf8/Fzd9/Gadd45g/Inpp5d/Nckap1l/Irf8/Nfkbid/Phf14/Il1b/Vav1/Il27/Hells/Dock10/Carmil2/Socs1/Il4/Foxn1/Il21/Laptm5/Wnt10b/Cd69/Myb/Lep/Irf4/Clec4g/H2-Ea/Lyl1/Tox/Pglyrp2/Stat4/Btk/Clcf1/Pou2f2/Dock2/Cd83/Gpr183/Ly6d/Card11/Ptprc/Bcl2/Ptpn6/Cd3e/Cd8a/Syk/Ctla4/Gimap1/Ly9/Rhoh/Tnfsf8/Cyp26b1/Ifng/Themis/Sash3/Lepr/6030468B19Rik/Tnfsf4/Il2/Cd3g/Eomes/Il15/Zap70/Pou2af1/Dock11/Il7r/Dtx1/Cd4/Il10/Il2rg/Pla2g2d/Itk/Tespa1/Bcl11b/Slamf6/Lck/Tnfrsf9/Cd40lg/Cd27/Gpr18/Cdh17/Cd3d/Ikzf3/Flt3/Il9r/Cd79a/Slamf1/H2-Oa/Il12a/Ntrk1/Fut7/Cd79b/Ccr7/Ccr6/Ms4a1/Foxp3/Cd19/Lef1/Spib/Cr2
GO:0050851,antigen receptor-mediated signaling pathway,159,-0.7130892988045784,-2.392682053810403,3.9630504118512906e-17,6.069411705750252e-14,5.591029804719676e-14,1536,"tags=36%, list=10%, signal=33%",Sh2b2/Cmtm3/Nfam1/Btnl2/Txk/Plcl2/Rftn1/Pram1/Prkcb/Nckap1l/Nfkbid/Mef2c/Ubash3a/Lcp2/Carmil2/Laptm5/Lat2/Cd160/Dennd1b/Btk/Sla2/Card11/Ptprc/Bcl2/Stap1/Ptpn6/Cd3e/Klhl6/Icosl/Cd8a/Lax1/Syk/Ctla4/Gcsam/Ifng/Themis/Fcho1/Zap70/Sh2d1a/Skap1/Itk/Tespa1/Lck/Cd8b1/Cd247/Cd79a/Lat/Trat1/Cd79b/Ccr7/Blk/Ms4a1/Cd22/Foxp3/Fcmr/Cd19/Fcrl5
GO:0055002,striated muscle cell development,194,0.677487922385277,2.325488023195561,6.439261202198247e-17,7.889382824933293e-14,7.267553537891537e-14,1923,"tags=39%, list=13%, signal=34%",Myoz2/Csrp3/Hnrnpu/Myl2/Myh7/Ccn4/Mybph/Acta1/Mypn/Myom2/Neb/Casq1/Ryr1/Mybpc2/Myom3/Ttn/Klhl41/Myf6/Mybpc1/Tnnt3/Lmod3/Alpk2/Isl1/Myod1/Adra1b/Myoz1/Nrap/Tnnt1/Myo18b/Tmod4/Trim63/Myog/Tcap/Synpo2l/Klhl40/Xirp1/Cav2/Myom1/Cavin4/Cacna1s/Adprhl1/Tmod1/Six1/Actn2/Prkg1/Alpk3/Tbx5/Kel/Actc1/Mylk3/Flnc/Stac3/Ldb3/Sgcd/Bves/Popdc2/Ankrd23/Speg/Lmod2/Homer1/Krt19/Nr3c1/Map2k4/Adra1a/Akap6/Pak1/Ppara/Tbx3/Akap13/Tmod3/Krt8/Tmem182/Prox1/Slc25a4/Casq2
GO:0055001,muscle cell development,225,0.6408796862836004,2.231380007838528,1.3104028134942322e-15,1.3036842368824392e-12,1.2009298063348206e-12,1923,"tags=35%, list=13%, signal=31%",Myoz2/Csrp3/Hnrnpu/Myl2/Myh7/Ccn4/Mybph/Acta1/Mypn/Myom2/Neb/Casq1/Ryr1/Mybpc2/Myom3/Ttn/Klhl41/Myf6/Mybpc1/Tnnt3/Lmod3/Alpk2/Isl1/Myod1/Adra1b/Myoz1/Nrap/Tnnt1/Myo18b/Tmod4/Trim63/Sypl2/Myog/Tcap/Synpo2l/Klhl40/Xirp1/Cav2/Myom1/Cavin4/Cacna1s/Adprhl1/Tmod1/Six1/Actn2/Prkg1/Alpk3/Tbx5/Kel/Actc1/Mylk3/Flnc/Stac3/Ldb3/Sgcd/Bves/Popdc2/Nfatc4/Ankrd23/Speg/Lmod2/Homer1/Krt19/Nr3c1/Map2k4/Adra1a/Akap6/Pak1/Ppara/Tbx3/Akap13/Tmod3/Krt8/Tmem182/Prox1/Pbrm1/Slc25a4/Casq2
GO:1903131,mononuclear cell differentiation,494,-0.5243391498836674,-1.962315483942352,1.489681628824204e-15,1.3036842368824392e-12,1.2009298063348206e-12,2059,"tags=30%, list=14%, signal=27%",St3gal1/Aqp8/Nfatc1/Adam8/Runx2/Sox13/Lfng/Aire/Prdm1/Flt3l/Il6ra/Gab3/Il18/Cracr2a/Prex1/Fasn/Tnfaip3/Tlr9/Hdac9/Pde1b/Smad7/Hoxa7/F2rl1/Ikzf1/H2-M3/Tbx21/Nfam1/Hcls1/Spi1/Runx3/Txk/Plcl2/H2-DMa/Nrros/Fancd2/Ascl2/Clec4d/Cmtm7/Slamf8/Fzd9/Gadd45g/Inpp5d/Nckap1l/Irf8/Nfkbid/Epsti1/Phf14/Il1b/Mef2c/Vav1/Il27/Batf3/Hells/Dock10/Carmil2/Socs1/Il4/Foxn1/Il21/Laptm5/Wnt10b/Cd69/Csf2/Myb/Lep/Irf4/Clec4g/H2-Ea/Lyl1/Tox/Pglyrp2/Stat4/Btk/Clcf1/Pou2f2/Dock2/Cd83/Gpr183/Ly6d/Card11/Ptprc/Bcl2/Ptpn6/Cd3e/Cd8a/Camk4/Syk/Ctla4/Gimap1/Ly9/Rhoh/Tnfsf8/Cyp26b1/Ifng/Themis/Sash3/Lepr/Cebpe/6030468B19Rik/Tnfsf4/Il2/Cd3g/Eomes/Il15/Gpr68/Il33/Zap70/Pou2af1/Dock11/Il7r/Dtx1/Cd4/Il10/Il2rg/Ubd/Pla2g2d/Il31ra/Itk/Tespa1/Gata1/Bcl11b/Slamf6/Lck/Tnfrsf9/Cd40lg/Cd27/Gpr18/Cdh17/Cd3d/Ikzf3/Flt3/Il9r/Cd79a/Slamf1/H2-Oa/Il12a/Ntrk1/Fut7/Cd79b/Ccr7/Ccr6/Ms4a1/Foxp3/Cd19/Lef1/Spib/Cr2
GO:0051249,regulation of lymphocyte activation,461,-0.5367010773305251,-1.9941194334981398,2.0086994431148577e-15,1.5381615985652022e-12,1.4169260150708883e-12,1592,"tags=26%, list=11%, signal=24%",Tbx21/Gnrh1/Ccdc88b/Nfam1/Spi1/Btnl2/Runx3/Cdkn1a/Cd80/H2-DMa/Fancd2/Ccl5/Ascl2/Zc3h12d/Dapl1/Slamf8/Inpp5d/Nckap1l/Slamf7/Nfkbid/Mzb1/Pdcd1/Il1b/Mef2c/Tnfrsf14/Vav1/Il27/Tigit/Carmil2/Socs1/Il4/Foxn1/Il21/Laptm5/Wnt10b/Cd69/Tnfrsf13b/Lep/Tnfaip8l2/Cd160/Clec4g/H2-Ea/Pag1/Tox/Pglyrp2/Tacr1/Btk/Clcf1/Cd83/Gpr183/Card11/Itgal/Fgr/Ptprc/Bcl2/Tnfrsf4/Ptpn6/Cd3e/Icosl/Lax1/Mpl/Syk/Ctla4/Prkcq/Coro1a/Rhoh/Cyp26b1/Efnb3/Ifng/Sash3/Samsn1/Tnfsf4/Il2/Tarm1/Il15/Fcho1/Zap70/Rasal3/Il7r/Dtx1/Cd4/Il10/Il2rg/Pla2g5/Pla2g2d/Tespa1/Cd40/Il27ra/Tspan32/Rac2/Lck/Pagr1a/Cd59b/Tnfrsf9/Cd6/Tbc1d10c/Cd40lg/Cd27/Bst1/Ikzf3/Flt3/Cd209e/Tnfsf14/Sit1/Lat/Slamf1/Cd5/H2-Oa/Tnfrsf13c/Btla/H2-Ob/Il12a/Bank1/Ccr7/Cd37/Cd22/Foxp3/Siglecg/Cd19/Lef1
GO:0070661,leukocyte proliferation,326,-0.5775548462172075,-2.0974535691390397,4.6657614398536356e-15,3.175828286727041e-12,2.9255142782520866e-12,2230,"tags=36%, list=15%, signal=31%",Csf2ra/Cd38/Slc11a1/Chrnb2/Spn/Dhps/Il6/Cd74/Xcl1/Pdcd1lg2/Gja1/Flt3l/Cd274/Cd209a/Il18/Cnn2/Irs2/Fgf10/Cfb/Elf4/Tlr9/Ocstamp/F2rl1/H2-M3/Gnrh1/Ccdc88b/Btnl2/Cdkn1a/Cd80/Plcl2/Ccl5/Zc3h12d/Inpp5d/Nckap1l/Ebi3/Mzb1/Il1b/Mef2c/Tnfrsf14/Il27/Itgb2/Hells/Carmil2/Il4/Il21/Laptm5/Tnfrsf13b/Csf2/Lep/Cd70/Clec4g/Tacr1/Stat4/Btk/Clcf1/Crip3/Dock2/Gpr183/Card11/Itgal/Ptprc/Bcl2/Tnfrsf4/Ptpn6/Cxcr4/Cd3e/Icosl/Mpl/Syk/Ctla4/Prkcq/Coro1a/Ifng/Sash3/Tnfsf4/Il2/Tarm1/Il15/Sh2d2a/Il33/Zap70/Rasal3/Il7r/Cd4/Il10/Pla2g5/Gapt/Pla2g2d/Cd40/Tspan32/Slamf6/Rac2/Cd59b/Tnfrsf9/Cd6/Zbtb32/Cd40lg/Cd27/Bst1/Ikzf3/Flt3/Il9r/Cd79a/Grem1/Cd209e/Slamf1/Tnfrsf13c/Btla/Il12a/Ccr7/Cd37/Cd22/Foxp3/Siglecg/Cd19/Lef1/Cr2
GO:0002768,immune response-regulating cell surface receptor signaling pathway,261,-0.6093880836185507,-2.161074127133257,1.5040978717673168e-14,9.214103562446584e-12,8.487861779520615e-12,1679,"tags=27%, list=11%, signal=25%",Sh2b2/F2rl1/H2-M3/Cmtm3/Nfam1/Btnl2/Txk/Plcl2/Clec4d/Rftn1/Pram1/Prkcb/Nckap1l/Nfkbid/Fpr2/Mef2c/Vav1/Ubash3a/Lcp2/Carmil2/Bpifb1/Laptm5/Lat2/Gpr33/Cd160/Dennd1b/Btk/Sla2/Card11/Ptprc/Bcl2/Stap1/Ptpn6/Cd3e/Klhl6/Icosl/Cd8a/Lax1/Syk/Ctla4/Gcsam/Tlr1/Ifng/Themis/Fcer1a/Fcho1/Zap70/Myo1g/Sh2d1a/Skap1/Itk/Tespa1/Cd40/Lck/Cd8b1/Cd247/Cd79a/Lat/Btla/Trat1/Cd79b/Ccr7/Blk/Ms4a1/Cd22/Foxp3/Fcmr/Cd19/Fcer2a/Fcrl5/Cr2
