ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
hsa05340,Primary immunodeficiency,30,-0.8836735487512202,-2.2852318673281853,2.3854149777279164e-10,7.800306977170287e-8,6.880038988394201e-8,917,"tags=63%, list=6%, signal=59%",CIITA/TNFRSF13B/BTK/PTPRC/CD3E/CD8A/ZAP70/IL7R/CD4/IL2RG/CD40/LCK/CD8B/CD40LG/CD3D/CD79A/TNFRSF13C/CD19/AICDA
hsa04660,T cell receptor signaling pathway,89,-0.688888639713228,-2.177239334126733,8.040995004397731e-9,1.3147026832190291e-6,1.159596121686831e-6,1264,"tags=29%, list=9%, signal=27%",PDCD1/VAV1/LCP2/NFKBIE/IL4/LAT/CSF2/GRAP2/CARD11/PTPRC/PTPN6/CD3E/CD8A/CTLA4/PRKCQ/IFNG/IL2/ZAP70/CD4/IL10/ITK/LCK/CD8B/CD247/CD40LG/CD3D
hsa04662,B cell receptor signaling pathway,63,-0.7103015828490525,-2.1310580273342152,1.9364815902915592e-7,2.1107649334177996e-5,1.8617401955785515e-5,1335,"tags=27%, list=9%, signal=25%",PRKCB/INPP5D/DAPP1/VAV1/NFKBIE/CD72/RASGRP3/BTK/CARD11/PTPN6/SYK/RAC2/CD79A/CD79B/CD22/CD19/CR2
hsa04640,Hematopoietic cell lineage,71,-0.686179653829481,-2.099584475198774,5.001380788248924e-7,3.625734380171994e-5,3.197975921993002e-5,1251,"tags=34%, list=9%, signal=31%",IL1B/IL11/IL4/CSF2/HLA-DRA/CD3E/CD8A/IL7R/CD4/CD8B/CD59/DNTT/CD2/CD3D/FLT3/IL9R/CD5/HLA-DOA/HLA-DOB/CD37/CD22/CD19/FCER2/CR2
hsa04658,Th1 and Th2 cell differentiation,79,-0.6695947222813583,-2.0987752331787304,5.543936361119256e-7,3.625734380171994e-5,3.197975921993002e-5,1510,"tags=29%, list=11%, signal=26%",TBX21/IL2RB/RUNX3/HLA-DMA/NFKBIE/IL4/LAT/HLA-DRA/STAT4/CD3E/PRKCQ/IFNG/DLL3/IL2/ZAP70/CD4/IL2RG/LCK/CD247/CD3D/HLA-DOA/HLA-DOB/IL12A
hsa04659,Th17 cell differentiation,94,-0.612267332755862,-1.9558756654450433,2.7587987018365433e-6,1.5035452925009162e-4,1.3261593759705492e-4,1510,"tags=27%, list=11%, signal=24%",TBX21/IL2RB/HLA-DMA/IL1B/NFKBIE/IL4/IL21/LAT/IRF4/HLA-DRA/CD3E/PRKCQ/IFNG/IL2/ZAP70/CD4/IL2RG/IL27RA/IL21R/LCK/CD247/CD3D/HLA-DOA/HLA-DOB/FOXP3
hsa05169,Epstein-Barr virus infection,160,-0.5378386345770175,-1.8309809461065576,3.4004928737257067e-6,1.5885159567261516e-4,1.401105334437359e-4,1543,"tags=17%, list=11%, signal=15%",HLA-G/RUNX3/CDKN1A/HLA-DMA/GADD45B/GADD45G/E2F1/NFKBIE/CCNA2/CXCL10/HLA-DRA/BTK/E2F2/ITGAL/BCL2/CD3E/SYK/OAS3/CD40/CD247/ENTPD8/CD3D/HLA-DOA/HLA-DOB/CD19/FCER2/CR2
hsa04672,Intestinal immune network for IgA production,33,-0.7752974060279745,-2.0647716450509748,6.437597917161697e-6,2.6313681486398436e-4,2.3209234596082963e-4,1428,"tags=64%, list=10%, signal=57%",TNFSF13B/HLA-DQA1/IL15RA/IL6/TNFRSF17/CD80/HLA-DMA/IL4/TNFRSF13B/HLA-DRA/CXCR4/IL2/IL15/ITGB7/IL10/CD40/CD40LG/HLA-DOA/TNFRSF13C/HLA-DOB/AICDA
hsa04060,Cytokine-cytokine receptor interaction,204,-0.49689576618839104,-1.7221849044578519,1.4662905364088627e-5,5.327522282285535e-4,4.6989895552751866e-4,1469,"tags=30%, list=10%, signal=27%",CNTF/IL2RB/CCL5/NGFR/EBI3/GDF1/GDF11/IL1B/TNFRSF14/XCR1/IL11/RELT/IL4/IL21/GDF7/CCL17/TNFRSF13B/CSF2/LEP/CXCL10/CD70/CXCR3/NODAL/CCL3L3/IL16/CLCF1/TNFRSF4/IL13RA2/CXCR4/LTA/MPL/TNFSF8/IFNG/TNFSF4/IL2/IL15/CXCR2/IL33/IL7R/CD4/IL10/IL2RG/TNFRSF25/IL31RA/CD40/IL27RA/IL21R/TNFRSF9/CD40LG/CD27/TNFRSF8/IL9R/TNFSF14/TNFRSF13C/LTB/CCL22/IL12A/CCR7/CCR6/CXCR5/CXCL13
hsa05330,Allograft rejection,20,-0.8122333710402002,-1.903396479581404,5.656442170812001e-5,0.0018496565898555245,0.001631437005055251,1543,"tags=65%, list=11%, signal=58%",HLA-G/CD80/HLA-DMA/IL4/HLA-DRA/IFNG/IL2/IL10/CD40/CD40LG/HLA-DOA/HLA-DOB/IL12A
hsa05320,Autoimmune thyroid disease,20,-0.8094242018569014,-1.896813442089123,6.797245536325014e-5,0.0020206357185257088,0.001782244284165602,1543,"tags=70%, list=11%, signal=62%",HLA-G/CD80/HLA-DMA/TG/IL4/HLA-DRA/CTLA4/IL2/IL10/CD40/CD40LG/TSHB/HLA-DOA/HLA-DOB
hsa04062,Chemokine signaling pathway,147,-0.5082817837741116,-1.7109320530545251,9.099078753823373e-5,0.002479498960416869,0.0021869715601294773,1762,"tags=24%, list=12%, signal=21%",PREX1/HCK/ARRB2/GNGT2/GNB4/NCF1/PIK3R5/CCL5/ADCY2/PRKCB/WAS/XCR1/VAV1/RASGRP2/CCL17/PLCB2/CXCL10/CXCR3/ADCY7/GNB3/CCL3L3/ADCY1/DOCK2/FGR/CXCR4/ADCY6/CXCR2/GRK1/ITK/RAC2/CCL22/CCR7/CCR6/CXCR5/CXCL13
hsa05321,Inflammatory bowel disease,52,-0.6500472245381995,-1.8967010019077342,9.897065665709209e-5,0.002489492671297624,0.0021957862286674686,1510,"tags=40%, list=11%, signal=36%",IL1A/HLA-DQA1/IL6/NFATC1/IL18/TBX21/HLA-DMA/IL1B/IL4/IL21/HLA-DRA/STAT4/IFNG/IL2/IL10/IL2RG/IL21R/HLA-DOA/HLA-DOB/IL12A/FOXP3
hsa04514,Cell adhesion molecules,113,-0.5145860063085661,-1.6884086715118436,3.743323209333532e-4,0.008743333496086178,0.007711808716972841,1669,"tags=32%, list=12%, signal=28%",NLGN1/ICAM2/CADM3/HLA-G/CD80/JAM3/HLA-DMA/PDCD1/SIGLEC1/ITGB2/TIGIT/CDH4/SELPLG/HLA-DRA/VCAN/ITGAL/PTPRC/L1CAM/CD8A/MAG/CTLA4/MPZ/LRRC4/ITGB7/CD4/CD40/CD8B/CD6/CD40LG/CD2/SELL/NRCAM/HLA-DOA/HLA-DOB/CD22/CNTNAP2
hsa04061,Viral protein interaction with cytokine and cytokine receptor,66,-0.5701300360381782,-1.7227318732730652,7.602478013336681e-4,0.016573402069073963,0.01461809807476667,2121,"tags=45%, list=15%, signal=39%",IL20RA/CCR8/TNFRSF1B/CCL1/CCL24/IL6/XCL1/IL6R/IL18/IL10RA/IL2RB/CCL5/TNFRSF14/XCR1/CCL17/CXCL10/CXCR3/CCL3L3/CXCR4/LTA/IL2/CXCR2/IL10/IL2RG/TNFSF14/CCL22/CCR7/CCR6/CXCR5/CXCL13
hsa05310,Asthma,15,-0.8036520940022778,-1.7899450852743273,0.001015454692884658,0.020753355285830197,0.018304906963841863,1408,"tags=60%, list=10%, signal=54%",HLA-DMA/IL4/HLA-DRA/FCER1A/IL10/CD40/CD40LG/HLA-DOA/HLA-DOB
hsa04940,Type I diabetes mellitus,25,-0.7348575495394779,-1.8132074838207601,0.001108559980626694,0.021323477274407584,0.018807766853976112,1543,"tags=52%, list=11%, signal=46%",HLA-G/GAD1/CD80/HLA-DMA/IL1B/HLA-DRA/LTA/IFNG/IL2/PTPRN2/HLA-DOA/HLA-DOB/IL12A
hsa05410,Hypertrophic cardiomyopathy,80,0.5204616745069811,1.5920968990966486,0.0022715329458480754,0.04126618184957337,0.0363976624071563,914,"tags=21%, list=6%, signal=20%",PRKAG3/MYL2/MYH7/CACNG1/SGCA/CACNG6/TTN/ATP2A1/ITGB8/CACNA1S/PRKAB2/DES/CACNA2D1/TGFB3/ACTC1/SGCD/SLC8A3
