,Row.names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,external_gene_name
1,ENSMUSG00000000001,44.44517429,-0.204232264,0.165108242,-1.236959833,0.216101995,0.387052799,Gnai3
2,ENSMUSG00000000003,0,NA,NA,NA,NA,NA,Pbsn
3,ENSMUSG00000000028,10.76249631,-0.253035616,0.296267112,-0.854079329,0.393061036,0.578016835,Cdc45
4,ENSMUSG00000000037,0.403077245,-0.822121403,1.397214771,-0.588400166,0.556263726,NA,Scml2
5,ENSMUSG00000000049,3.055281852,1.054068412,0.458535874,2.298769782,0.021518016,0.070868797,Apoh
6,ENSMUSG00000000056,879.4677166,-0.002401093,0.13031072,-0.018425907,0.985299085,0.992497645,Narf
7,ENSMUSG00000000058,62.35245678,-0.834908585,0.262648045,-3.178811343,0.001478803,0.008046653,Cav2
8,ENSMUSG00000000078,199.0574976,0.158145473,0.304151256,0.519956665,0.603093779,0.753487779,Klf6
9,ENSMUSG00000000085,477.8101169,-0.529456795,0.099537119,-5.319189469,1.04E-07,1.82E-06,Scmh1
10,ENSMUSG00000000088,2180.989136,0.156512445,0.199444722,0.784740973,0.432605455,0.61459031,Cox5a
11,ENSMUSG00000000093,12.41591494,-0.505641259,0.291616016,-1.733928286,0.082930808,0.196323859,Tbx2
12,ENSMUSG00000000094,22.61179704,1.230040723,0.235024811,5.23366328,1.66E-07,2.80E-06,Tbx4
13,ENSMUSG00000000103,0,NA,NA,NA,NA,NA,Zfy2
14,ENSMUSG00000000120,12.91765754,0.990796219,0.517252687,1.915497482,0.05542909,0.146094255,Ngfr
15,ENSMUSG00000000125,0.039383582,-0.324027251,3.697420426,-0.087636031,0.930165964,NA,Wnt3
16,ENSMUSG00000000126,89.73809812,0.288557625,0.133421074,2.162758975,0.030559722,0.093279334,Wnt9a
17,ENSMUSG00000000127,42.81324264,0.909381011,0.164437764,5.530244326,3.20E-08,6.40E-07,Fer
18,ENSMUSG00000000131,239.2407904,-0.250133128,0.092588509,-2.701556925,0.006901567,0.028742053,Xpo6
19,ENSMUSG00000000134,103.0154271,0.071208976,0.188051115,0.378668192,0.704934276,0.826749976,Tfe3
20,ENSMUSG00000000142,62.27102398,0.331908838,0.170034674,1.952006795,0.050937398,0.136951684,Axin2
21,ENSMUSG00000000148,50.94129552,-0.034269317,0.168458875,-0.203428384,0.838800216,0.913211127,Brat1
22,ENSMUSG00000000149,150.1608569,0.796105827,0.141622734,5.621313802,1.90E-08,3.92E-07,Gna12
23,ENSMUSG00000000154,2.373833596,-0.3913572,0.581664539,-0.672822862,0.501059991,0.673169828,Slc22a18
24,ENSMUSG00000000157,0.045352898,0.404903003,3.697420426,0.109509592,0.912798314,NA,Itgb2l
25,ENSMUSG00000000159,0,NA,NA,NA,NA,NA,Igsf5
26,ENSMUSG00000000167,2.32248883,0.380785701,0.563519377,0.675727786,0.499213491,0.671445159,Pih1d2
27,ENSMUSG00000000168,937.320375,0.198180048,0.101875347,1.945319004,0.051736596,0.138525065,Dlat
28,ENSMUSG00000000171,1867.979522,0.173766584,0.135247692,1.284802587,0.198861278,0.365083697,Sdhd
29,ENSMUSG00000000182,0.30679469,0.235324583,1.625447495,0.144775259,0.884888317,NA,Fgf23
30,ENSMUSG00000000183,5.810557201,-0.1289752,0.387839437,-0.332547925,0.739475558,0.850361626,Fgf6
31,ENSMUSG00000000184,42.69198718,-0.387842121,0.24992372,-1.55184198,0.120700038,0.257755054,Ccnd2
32,ENSMUSG00000000194,197.6207792,0.182338397,0.09648077,1.889893681,0.058772181,0.15245361,Gpr107
33,ENSMUSG00000000197,1.438551148,-0.922572856,0.913735417,-1.009671771,0.312652572,0.497292005,Nalcn
34,ENSMUSG00000000202,0.079030346,0.253043408,3.596911242,0.070350195,0.943914931,NA,Btbd17
35,ENSMUSG00000000204,0.900014138,0.15798735,0.996224909,0.158586026,0.873995039,0.933858471,Slfn4
36,ENSMUSG00000000214,0.74378036,-0.618312745,1.323440396,-0.467201052,0.640356041,0.780740366,Th
37,ENSMUSG00000000215,0,NA,NA,NA,NA,NA,Ins2
38,ENSMUSG00000000216,0,NA,NA,NA,NA,NA,Scnn1g
39,ENSMUSG00000000223,72.19381618,0.467981708,0.340472483,1.374506699,0.169284432,0.32702633,Drp2
40,ENSMUSG00000000244,1.762357283,0.856047205,0.801980967,1.067415861,0.285784089,0.468871466,Tspan32
41,ENSMUSG00000000247,0.421174858,1.207363195,1.286029511,0.938830084,0.34781799,NA,Lhx2
42,ENSMUSG00000000248,0.12604774,1.678269213,2.683217836,0.625468865,0.531663377,NA,Clec2g
43,ENSMUSG00000000253,577.3333025,-0.403901331,0.131884154,-3.062546326,0.002194625,0.011187882,Gmpr
44,ENSMUSG00000000263,0.069700538,0.253042876,3.697420426,0.06843768,0.945437228,NA,Glra1
45,ENSMUSG00000000266,74.22457866,0.838091137,0.144316292,5.807321701,6.35E-09,1.47E-07,Mid2
46,ENSMUSG00000000275,75.5203882,0.232769338,0.167893871,1.386407592,0.16562248,0.32210414,Trim25
