RetainedRef	DuplicateRef
ENSMUST00000072804.10	ENSMUST00000166207.2
ENSMUST00000214304.1	ENSMUST00000214639.1
ENSMUST00000214304.1	ENSMUST00000214750.1
ENSMUST00000174525.7	ENSMUST00000068291.6
ENSMUST00000211036.2	ENSMUST00000210119.2
ENSMUST00000211036.2	ENSMUST00000214021.2
ENSMUST00000072868.4	ENSMUST00000228725.1
ENSMUST00000169826.2	ENSMUST00000112384.9
ENSMUST00000016124.14	ENSMUST00000213529.1
ENSMUST00000179227.1	ENSMUST00000217272.1
ENSMUST00000184888.7	ENSMUST00000184401.7
ENSMUST00000184888.7	ENSMUST00000183448.7
ENSMUST00000212414.1	ENSMUST00000217594.1
ENSMUST00000214751.1	ENSMUST00000053941.3
ENSMUST00000078021.12	ENSMUST00000082121.8
ENSMUST00000044954.6	ENSMUST00000215537.1
ENSMUST00000214977.1	ENSMUST00000044256.5
ENSMUST00000199538.4	ENSMUST00000167598.5
ENSMUST00000213754.1	ENSMUST00000079827.1
ENSMUST00000187519.6	ENSMUST00000109648.8
ENSMUST00000161117.7	ENSMUST00000230846.1
ENSMUST00000215009.2	ENSMUST00000089490.2
ENSMUST00000207881.1	ENSMUST00000208134.1
ENSMUST00000130161.8	ENSMUST00000133771.8
ENSMUST00000130161.8	ENSMUST00000065323.13
ENSMUST00000090682.3	ENSMUST00000216395.1
ENSMUST00000133454.7	ENSMUST00000147759.7
ENSMUST00000133454.7	ENSMUST00000130671.7
ENSMUST00000135432.7	ENSMUST00000153908.1
ENSMUST00000215268.1	ENSMUST00000099835.4
ENSMUST00000069453.8	ENSMUST00000112969.9
ENSMUST00000129340.7	ENSMUST00000140058.7
ENSMUST00000082370.9	ENSMUST00000198057.4
ENSMUST00000216456.1	ENSMUST00000098203.3
ENSMUST00000102512.10	ENSMUST00000102513.7
ENSMUST00000102512.10	ENSMUST00000102511.1
ENSMUST00000102512.10	ENSMUST00000030524.13
ENSMUST00000060904.10	ENSMUST00000113100.1
ENSMUST00000078350.12	ENSMUST00000130214.7
ENSMUST00000113605.9	ENSMUST00000187836.6
ENSMUST00000113605.9	ENSMUST00000066668.13
ENSMUST00000106312.3	ENSMUST00000056232.6
ENSMUST00000216882.1	ENSMUST00000078761.4
ENSMUST00000185667.1	ENSMUST00000190946.6
ENSMUST00000145214.8	ENSMUST00000180760.8
ENSMUST00000227611.1	ENSMUST00000228646.1
ENSMUST00000227611.1	ENSMUST00000228268.1
ENSMUST00000180463.2	ENSMUST00000217431.1
ENSMUST00000147802.8	ENSMUST00000146440.2
ENSMUST00000214404.1	ENSMUST00000216493.1
ENSMUST00000214404.1	ENSMUST00000099756.4
ENSMUST00000196999.4	ENSMUST00000029824.8
ENSMUST00000115044.7	ENSMUST00000023520.6
ENSMUST00000162921.7	ENSMUST00000162944.7
ENSMUST00000037057.13	ENSMUST00000172177.1
ENSMUST00000233871.1	ENSMUST00000233122.1
ENSMUST00000233871.1	ENSMUST00000068258.2
ENSMUST00000171613.7	ENSMUST00000115622.7
ENSMUST00000171613.7	ENSMUST00000168592.8
ENSMUST00000114873.7	ENSMUST00000045896.10
ENSMUST00000114873.7	ENSMUST00000232437.1
ENSMUST00000114873.7	ENSMUST00000231669.1
ENSMUST00000114873.7	ENSMUST00000097360.2
ENSMUST00000201684.3	ENSMUST00000066540.13
ENSMUST00000168580.1	ENSMUST00000167253.1
ENSMUST00000022082.7	ENSMUST00000223120.1
ENSMUST00000234082.1	ENSMUST00000234325.1
ENSMUST00000041761.6	ENSMUST00000207932.1
ENSMUST00000214026.1	ENSMUST00000045726.7
ENSMUST00000150033.7	ENSMUST00000137705.7
ENSMUST00000161305.7	ENSMUST00000092595.10
ENSMUST00000196639.1	ENSMUST00000181038.2
ENSMUST00000204268.2	ENSMUST00000204134.2
ENSMUST00000098816.9	ENSMUST00000117077.7
ENSMUST00000237192.1	ENSMUST00000166219.1
ENSMUST00000131932.1	ENSMUST00000230902.1
ENSMUST00000215409.1	ENSMUST00000217480.1
ENSMUST00000215409.1	ENSMUST00000072152.1
ENSMUST00000159962.7	ENSMUST00000159683.1
ENSMUST00000088950.7	ENSMUST00000109760.1
ENSMUST00000196023.1	ENSMUST00000197557.1
ENSMUST00000000033.11	ENSMUST00000105936.7
ENSMUST00000000033.11	ENSMUST00000105935.7
ENSMUST00000000033.11	ENSMUST00000097936.8
ENSMUST00000098193.3	ENSMUST00000218266.1
ENSMUST00000167764.1	ENSMUST00000178276.7
ENSMUST00000022954.6	ENSMUST00000229683.1
ENSMUST00000022954.6	ENSMUST00000229234.1
ENSMUST00000212810.1	ENSMUST00000046461.8
ENSMUST00000100655.4	ENSMUST00000229646.1
ENSMUST00000230087.1	ENSMUST00000229444.1
ENSMUST00000194877.5	ENSMUST00000193569.5
ENSMUST00000044038.9	ENSMUST00000113662.7
ENSMUST00000044038.9	ENSMUST00000113661.9
ENSMUST00000044038.9	ENSMUST00000113663.8
ENSMUST00000174278.7	ENSMUST00000170263.8
ENSMUST00000174278.7	ENSMUST00000033966.12
ENSMUST00000174850.7	ENSMUST00000172907.7
